Title,Link,Salary,Description,Posted Date,Job Type
it system & network administrator,https://www.randstad.com.sg/jobs/it-system-network-administrator_singapore_44910574/,,"about the job:We are seeking a skilled IT System & Network Administrator responsible for managing infrastructure operations and network administration across regional offices. This role ensures high availability, security, and optimal performance of IT systems, providing technical expertise and support for cloud services, cybersecurity, disaster recovery, and compliance. The position also requires overseeing IT projects, vendor management, and maintaining",posted 3 march 2025,contract
finance project - tester (contract),https://www.randstad.com.sg/jobs/finance-project-tester-contract_singapore-river_44910572/,,"about the company Our client is a well established Private Bank with a global footprint.about the job Participate in finance projects and conduct user testingAssist in monitoring and tracking project progressIdentify and escalate issues to the project team for resolutionAnalyst, draw conclusions and present findings of test resultsMaintain detailed documentation of testing processes and outcomesskills and experience required Min. Bachelor Degree in Account",posted 3 march 2025,contract
system engineer cloud & iac & devops / ci / cd,https://www.randstad.com.sg/jobs/system-engineer-cloud-iac-devops-ci-cd_singapore_44910159/,,"Exposure to latest technologies (cloud and devops) Support from management to invest in cloud devops / IAC About the companyOur Client is an established company that is a market leader within their industry. With rapid expansion plan, they are now looking for a System Engineer - Cloud & IAC to join their team.About the jobYour role involves:Managing Azure cloud environments, ensuring scalability and performanceSpearhead the transition to an Infrastructure",posted 3 march 2025,permanent
"senior executive / executive, employee engagement (npo)",https://www.randstad.com.sg/jobs/senior-executive-executive-employee-engagement-npo_singapore_44910158/,"S$3,800 - S$5,000 per month","about the companyOur client is a Non-profit Organization and currently, they are on a lookout for a Workplace Experience, Senior Executive / Executive to join their team. about the jobEmployee ExperienceCoordinate and assist in the implementation and evaluation of Workplace Experience initiatives/programmesCollaborate with various stakeholders to ensure smooth execution of programmesAct as a key point of contact for addressing employee enquiries relating t",posted 3 march 2025,permanent
oracle hris analyst / oracle hrms specialist,https://www.randstad.com.sg/jobs/oracle-hris-analyst-oracle-hrms-specialist_singapore_44910157/,,"Concrete project timelinesExposure to latest technology ( Oracle Fusion Cloud ) About the companyOur Client is a MNC with offices across Asia, Europe and US. As part of their expansion plan in Singapore, they are now hiring for a Oracle HCM Consultant / Oracle HRIS Specialist to join their team.ResponsibilitiesYour role involves:Providing support and implementation of Oracle HCM (Oracle Core HR, Payroll, Talent Management, Recruitment and etc)Translating b",posted 3 march 2025,permanent
principal system engineer  infrastructure  - azure cloud,https://www.randstad.com.sg/jobs/principal-system-engineer-infrastructure-azure-cloud_singapore_44910156/,,"Exposure to latest technologies Cloud AzureRegional roleAbout the companyOur Client is an established company within their industry. They have a well-established presence of more than 20 years with a global footprint of more than 20 countries. With rapid expansion plan, they are now looking for an Senior System Engineer / System Administrator ( Azure, O365, Office365) to join their team.About the jobReporting to the IT Manager, your role involves:Designing",posted 3 march 2025,permanent
it executive / it specialist helpdesk inhouse,https://www.randstad.com.sg/jobs/it-executive-it-specialist-helpdesk-inhouse_singapore_44910081/,,"Exposure to Wide range of technologyOn the job training from Senior IT colleaguesAbout the companyOur Client is an established MNC with offices in Europe and Asia.  With rapid expansion and technology investment plan, they are now looking for a new IT Engineer / IT Executive / IT VIP Support / IT Analyst to join their team.About the jobYour role involves:Effectively prioritizing and resolving IT Support issues related to PCs, mobile devices, video conferen",posted 3 march 2025,permanent
talent acquisition (assistant manager) - blue collar hiring,https://www.randstad.com.sg/jobs/talent-acquisition-assistant-manager-blue-collar-hiring_singapore_44910080/,"S$4,500 - S$6,000 per month","about the companyOur client is a leading player in the logistics industry. They are currently looking to recruit a talent acquisition partner to join their team, with a focus in blue collar recruitment. about the jobAs a talent acquisition partner, you will be responsible for:Full-Cycle Recruitment: Manage end-to-end recruitment for executive and non-executive roles, from sourcing to offer stage.Manpower Strategy: Collaborate with business units to identif",posted 3 march 2025,permanent
"senior executive / executive, employee engagement (npo)",https://www.randstad.com.sg/jobs/senior-executive-executive-employee-engagement-npo_singapore_44910007/,"S$3,800 - S$5,000 per month","about the companyOur client is a VMO and currently, they are on a lookout for a Workplace Experience, Senior Executive / Executive to join their team. This sits with the transformation office department and will be working closely with the HR team.about the jobEmployee ExperienceCoordinate and assist in the implementation and evaluation of Workplace Experience initiatives/programmesCollaborate with various stakeholders to ensure smooth execution of program",posted 3 march 2025,permanent
it director / head of it global,https://www.randstad.com.sg/jobs/it-director-head-of-it-global_singapore_44910006/,,"Senior leadership role with a sizeable IT team Decision making for IT Strategy and roadmap About the companyOur Client is a fast growing multi million MNC.  With plan for investment in IT, they are now looking for a new  IT Director / VP, IT/ Head of IT, to manage the IT team and lead their IT Digital transformation within the group.About the jobYour responsibility involves:Providing thought leadership for the internal IT ( Software Development & Devops ,",posted 3 march 2025,permanent
head of legal (manufacturing),https://www.randstad.com.sg/jobs/head-of-legal-manufacturing_singapore_44909914/,,"about the companyOur client is one of the key leading players in the manufacturing space. They are a household brand with strong global footprints. As part of their global business expansion strategy, they are looking for a Head of Legal to be based in their Singapore office to oversee the APAC region. about the jobAs the Head of Legal, you will be responsible for driving and overseeing the regional legal & governance strategy. You will play a pivotal role",posted 3 march 2025,permanent
"avp, loan syndication - foreign corporate bank",https://www.randstad.com.sg/jobs/avp-loan-syndication-foreign-corporate-bank_marina-bay_44909911/,,"about the companyOur client is an established foreign corporate bank with a strong presence in Singapore and major cities around the world.about the jobEnhance network through discussions with investors and broaden the investor poolIdentifying opportunities to build investor relationships and cross-selling opportunitiesProvide strategic recommendations on syndication and offer insights for structuring of the dealsHandle the active publicity efforts, networ",posted 3 march 2025,permanent
hr advisor (international brokerage firm),https://www.randstad.com.sg/jobs/hr-advisor-international-brokerage-firm_singapore_44909784/,"S$5,500 - S$7,000 per month","about the companyOur client is one of the leading global financial services firm and they are now looking for a HR Advisor to join their team.  about the jobThis role will cover the full spectrum of HR functions, excluding payroll, with a focus on supporting the organization's strategic HR initiatives and ensuring the smooth execution of day-to-day HR operations. The ideal candidate will have strong interpersonal skills, a sound understanding of HR best pr",posted 3 march 2025,permanent
it executive (retail),https://www.randstad.com.sg/jobs/it-executive-retail_singapore_44908851/,"S$4,000 - S$5,000 per month","Travelling required : Malaysia, Thailand & Europe (once a year)100+ users across SEA regionsNewly created role about the companyMy client is currently seeking an IT Executive (Retail) capable of providing comprehensive IT support and managing incidents and requests for end users and infrastructure topics. This role is pivotal in ensuring the seamless operation of end user devices, IT systems, and networks. about the jobProvide IT support and manage inciden",posted 2 march 2025,permanent
treasurer,https://www.randstad.com.sg/jobs/treasurer_singapore_44903813/,,"about the companyA fast growing commodities trading startup business with Singapore anchored as their HQ, they have achieved strong profitability with presence across various regions. As part of their growth strategy, they are looking for a seasoned and dynamic professional to join them as a Treasurer. about the jobReporting to the Managing Director, you will be responsible for the full spectrum of treasury function with focus on FX and liquidity managemen",posted 28 february 2025,permanent
"senior accountant (cbd, hybrid)",https://www.randstad.com.sg/jobs/senior-accountant-cbd-hybrid_singapore_44901262/,"S$5,000 - S$6,000 per month","about the companyOur client is headquartered in Singapore and specializes in consulting as it's main business activity. They are hiring for a Senior Accountant to join their dynamic team. about the jobThis role reports into the Chief Financial Officer and you will be supported by an Accounts Executive based overseas. You will primarily lead the FP&A portfolio including hands on budgeting, forecasting, developing financial models and providing analysis and",posted 28 february 2025,permanent
treasury executive (open to fresh graduates),https://www.randstad.com.sg/jobs/treasury-executive-open-to-fresh-graduates_singapore_44901206/,,"about the companyOur client is headquartered in Singapore and has strong regional presence across the globe.   about the jobIn a team of 11, our client is seeking a treasury executive to join their treausury team assisting in the management of bank operations including assisting with hedging programs in mitigating interest rate & FX risks and cash flow management. In this role, you are also required to support the senior team members in preparing reports a",posted 28 february 2025,permanent
finance analyst,https://www.randstad.com.sg/jobs/finance-analyst_singapore_44901201/,,"about the companyOur client is headquartered in Japan and is in the manufacturing industry. With growing presence in the APAC market, they are looking to onboard a Financial Analyst into their dynamic and close knitted Accounting & Finance team.  about the manager/teamIn this role, you weill report into the Finance Manager and support the FP&A team in areas such as budgeting, forecasting and preparing analysis reports for the local management and HQ manage",posted 28 february 2025,permanent
transfer pricing tax accountant (west),https://www.randstad.com.sg/jobs/transfer-pricing-tax-accountant-west_singapore_44901158/,,"about the companyOur client is headquartered in Singapore, has robust presence in APAC and USA with it's core business in manufacturing activities. As part of their expansion and acquisition plans, they are seeking a dynamic Tax Accountant to manage the transfer pricing function in the APAC region. about the jobIn this role, you will report to the Chief Financial Officer and be working with the local finance team & in-country finance teams across the APAC",posted 28 february 2025,permanent
kyc & client onboarding analyst,https://www.randstad.com.sg/jobs/kyc-client-onboarding-analyst_singapore-river_44900733/,,"about the companyOur client is a renowned corporate bank, with presence across Asia. about the jobCoordinate with the Front Office on client account openings and periodic KYC reviews.Assess new account applications and KYC documentation for completeness and compliance with policies and procedures.Follow up with Business Units on document deficiencies related to onboarding and periodic KYC.Verify and maintain proper records of customer identification and su",posted 28 february 2025,contract
kyc & client onboarding analyst,https://www.randstad.com.sg/jobs/kyc-client-onboarding-analyst_singapore-river_44900731/,,"about the companyOur client is a renowned corporate bank, with presence across Asia. about the jobCoordinate with the Front Office on client account openings and periodic KYC reviews.Assess new account applications and KYC documentation for completeness and compliance with policies and procedures.Follow up with Business Units on document deficiencies related to onboarding and periodic KYC.Verify and maintain proper records of customer identification and su",posted 28 february 2025,contract
sales & marketing manager (retail brokerage / fs),https://www.randstad.com.sg/jobs/sales-marketing-manager-retail-brokerage-fs_singapore_44895531/,,"about the companyOur client is a CMS licensed financial services organisation fully regulated by MAS that offers online and mobile trading of financial instruments from equities and stocks, to options and ETFs. about the jobThis role involves driving growth through marketing and partnerships. You will own all strategic marketing activities, including the planning and execution of all marketing communications. Responsibilities include omnichannel marketing",posted 27 february 2025,permanent
operations director (logistics/freight),https://www.randstad.com.sg/jobs/operations-director-logisticsfreight_singapore_44895504/,"S$6,000 - S$7,200 per month, bonuses","about the companywe are partnering with a logistics provider to look for a Operations Director to oversee external vendors management, proposals and tender documentations. about the jobstrategise improvements and solutions regarding freight solutionsmanage relationships with external vendors and oversee their performancedevelop plans to mitigate gaps within the logistics servicesskills and experience requiredmin. 5 years in logistics/freight management wil",posted 27 february 2025,permanent
iron ore trader - 5+ years experience,https://www.randstad.com.sg/jobs/iron-ore-trader-5-years-experience_singapore_44895363/,"S$8,000 - S$15,000 per month","about the companyMy client is a well-established company in the metals commodities industry, they are looking for a Iron Ore Trader to develop good relationships with suppliers and clients, also responsible for entire P&L of the business.about the jobDevelop and manage good relationships with suppliers and clients, focus on international marketDrive trading performance and analyse market trends to identify trading opportunities and risksEnsure a reliable s",posted 27 february 2025,permanent
senior board operations specialist,https://www.randstad.com.sg/jobs/senior-board-operations-specialist_singapore_44894923/,"S$7,500 - S$10,000 per month, AWS + VB + attractive benefits","about the companyOur client offers a unique range of innovative solutions for a wide range of industries. about the jobThe job description outlines responsibilities for managing board meetings, corporate governance, and administrative support. Key duties include:Board & Subsidiary Boards: Prepare meeting materials, draft agendas, resolutions, and minutes, coordinate logistics, and manage schedules for meetings and workshops. Communicate with board members",posted 27 february 2025,permanent
system engineer cloud & iac &  devops / ci / cd,https://www.randstad.com.sg/jobs/system-engineer-cloud-iac-devops-ci-cd_singapore_44894876/,,"Exposure to latest technologies (cloud and devops) Regional / Global role About the companyOur Client is an established company that is a market leader within their industry. With rapid expansion plan, they are now looking for a System Engineer - Cloud & IAC to join their team.About the jobYour role involves:Managing Azure cloud environments, ensuring scalability and performanceSpearhead the transition to an Infrastructure as Code (IaC) environment by util",posted 27 february 2025,permanent
regional solutions architect manager,https://www.randstad.com.sg/jobs/regional-solutions-architect-manager_singapore_44894757/,"S$200,000 - S$240,000 per year, bonus","about the companyOur Client is a global MNC company  about the jobLead and manage the APAC Solution Architect team, ensuring alignment with regional and global strategies.Oversee the development of technical solutions for Network, SD-WAN/SASE, Cloud, and Cybersecurity, ensuring they meet customer requirements and industry standards.Jointly identify the strategic target accounts together with Lumen’s Sales teamsWork with the sales teams to identify and map",posted 27 february 2025,permanent
assistant finance manager,https://www.randstad.com.sg/jobs/assistant-finance-manager_singapore-river_44894756/,,"about the company Our client offers a range of investment banking and financial services, including equities trading, fixed income, and asset management, catering to institutional and corporate clients.about the job Process supplier payments in multiple currenciesAssist with AP/AR tasks and support the team as neededBank reconciliations and ensure margin calls are received/paid in a timely mannerPrepare monthly reconciliation of client balancesPrepare mont",posted 27 february 2025,permanent
system admin specialist (m365 + azure),https://www.randstad.com.sg/jobs/system-admin-specialist-m365-azure_singapore_44894530/,"S$5,000 - S$7,000 per month, aws","about the companyOur client is offering financial and advisory services to their customersabout the jobWe are seeking a detail-oriented and proactive System Administration Specialist to support the management, maintenance, and optimization of our IT infrastructure under the guidance of the Senior System Manager. The successful candidate will play a critical role in ensuring the availability, performance, and security of our systems while contributing to th",posted 27 february 2025,permanent
chief marketing officer - global (consumer electronics),https://www.randstad.com.sg/jobs/chief-marketing-officer-global-consumer-electronics_singapore_44894528/,,"About the CompanyA global Chinese Consumer Electronics MNC is seeking a visionary Global Marketing Director (CMO) to lead its global brand strategy and regional marketing teams. This is a newly created role, based in Singapore designed for a highly entrepreneurial leader who thrives in dynamic, high-growth environments.With a strong presence in cross-border e-commerce, the company specializes in photography equipment and accessories such as filters, tripo",posted 27 february 2025,permanent
internal audit senior manager (open to big4 auditors),https://www.randstad.com.sg/jobs/internal-audit-senior-manager-open-to-big4-auditors_singapore_44894339/,"S$8,000 - S$10,000 per month","About the companyOur client, a leading multinational corporation in the FMCG sector, is looking for a Senior Internal Audit Manager to join their team. About the jobThe Audit Lead will be responsible for developing and executing a comprehensive, risk-based internal audit plan for audits across Singapore, Southeast Asia, and Group Assurance projects, with potential support for Technology audits. This role involves leading a team, overseeing the completion o",posted 27 february 2025,permanent
commodities middle office analyst - 3+ years of experience,https://www.randstad.com.sg/jobs/commodities-middle-office-analyst-3-years-of-experience_singapore_44894191/,"S$6,500 - S$7,000 per month","about the companyMy client is a well-established energy commodities company, they are looking for a Middle Office Analyst/Product Controller with at least 3 years of experience. Welcome for other commodities background.   about the jobPrepare daily P&L reportsValidation of physical commodity and derivative deal entries ensure through ETRMMaintain price curvesMonitor trading activitySupport market and credit risk monitoringMonth end financial closing proces",posted 27 february 2025,permanent
"compliance officer, private bank",https://www.randstad.com.sg/jobs/compliance-officer-private-bank_singapore-river_44894018/,,"about the companyOur Client is a renowned Private Bank with global footprints.about the jobPerform due diligence reviews, focusing on high risk accountsAssess clients' source of wealth (SOW) and work with front office on corroborationAct as the second line of defense in AML and KYC reviewsPerform change in circumstance (CIC) and credit reviewsProvide compliance advices to stakeholdersSupport the team in audit, inspections and reportingskills and experience",posted 27 february 2025,contract
"internal audit, private bank",https://www.randstad.com.sg/jobs/internal-audit-private-bank_singapore_44894015/,,about the companyOur Client is a renowned European bank with global footprints.about the jobFollow control guidelines and methodologies provided by the Group/ Head OfficePerform surveillance controls and ensure they adhere to internal guidelinesPerform sample testing and data analysisAssess the quality of the internal processes and proceduresInvestigate root cause of deviation and propose remediation actionsskills and experience required>2 years of experie,posted 27 february 2025,contract
recruitment consultant - life science,https://www.randstad.com.sg/jobs/recruitment-consultant-life-science_singapore_44893999/,,"In your role, you’ll be responsible for the development of your own network of clients and candidates within the life science space, developing opportunities within this niche but fast rapidly growing industry. Through Randstad’s resources and market research, you’ll add value through the learning and sharing of your knowledge about the latest labour and talent trends with your clients. In the process of talent matching, you’ll also learn about candidates’",posted 27 february 2025,permanent
"recruitment consultant, banking & financial services",https://www.randstad.com.sg/jobs/recruitment-consultant-banking-financial-services_singapore_44893885/,,"In your role as a Recruitment Consultant at Randstad Singapore, you’ll be responsible for the development of your own network of clients and candidates.Through Randstad’s resources and market research, you’ll add value through the learning and sharing of your knowledge about the latest labour and talent trends with your clients. In the process of talent matching, you’ll also learn about candidates’ expectations and career aspirations to match them with the",posted 27 february 2025,permanent
it executive / it engineer helpdesk inhouse,https://www.randstad.com.sg/jobs/it-executive-it-engineer-helpdesk-inhouse_singapore_44889348/,,"Exposure to Wide range of technologyOn the job training from Senior IT colleaguesAbout the companyOur Client is an established MNC with offices in Europe and Asia.  With rapid expansion and technology investment plan, they are now looking for a new IT Engineer / IT Executive / IT VIP Support / IT Analyst to join their team.About the jobYour role involves:Effectively prioritizing and resolving IT Support issues related to PCs, mobile devices, video conferen",posted 26 february 2025,permanent
finance manager (transformation),https://www.randstad.com.sg/jobs/finance-manager-transformation_singapore_44889296/,"S$7,000 - S$9,000 per month, variable bonus","about the companyWell known educational institution based in Singapore. Constantly innovating to meet changing student needs and ensuring that their curriculum is competitive with other schools,  they are now looking for a Finance Manager (Finance Transformation) to  help with the growing needs of the business.about the jobYou'll take charge of implementing and refining key finance systems, while fostering collaboration across departments to drive producti",posted 26 february 2025,permanent
asset management executive,https://www.randstad.com.sg/jobs/asset-management-executive_singapore-river_44889105/,,"About The CompanyOur client is a CMS licenced Investment Firm, with a main presence in Asia, focusing on Private Equity and Real Estate. As part of their growth plans, we are looking for an Asset Management Executive to support the operations team. About The JobTo formulate marketing strategies and collaborate with local research team to drive asset performance Preparation of portfolio performance management reports Assist with lease management, negotiatio",posted 26 february 2025,permanent
rates prime brokerage & cleared otc client services,https://www.randstad.com.sg/jobs/rates-prime-brokerage-cleared-otc-client-services_singapore-river_44889069/,,"about the company Our Client is one of the world’s leading investment banks with a global reach. The company believes in doing business in a responsible and sustainable way that has a positive impact for their clients, people, investors and communities.about the job Addressing client queries and building strong relationships with clientsEnsure that all reconciliation breaks and trade exceptions are being attended to promptlyHandle trade capture and post-tr",posted 26 february 2025,contract
regional legal counsel,https://www.randstad.com.sg/jobs/regional-legal-counsel_singapore_44889068/,,"about the companyOur client is a software developer with a globally renowned app in the entertainment industry and an expanding presence across APAC, EU and the Americas.about the jobThis role would involve spearheading a global legal project involving the rollout of data protection, compliance and cybersecurity frameworks and policies across the region and globally. You will be an integral player utilising a mix of your legal expertise and advanced stakeh",posted 26 february 2025,permanent
global business development vice president(semicon asic chips),https://www.randstad.com.sg/jobs/global-business-development-vice-presidentsemicon-asic-chips_singapore_44889066/,"S$25,000 - S$35,000 per month, +RSU+Comms","about the jobManage existing customer and develop new potential opportunitiesResponsible to manage customer RFQ, check/buy off quotation for submissionAbility to handle all the enquiries and negotiation with customerResponsible to perform Sales Contract/ Manufacturing Service Agreement reviews and negotiationLead team to fulfil customer escalations/rescheduleManage product EOL, ECO, OBS, inventoryDrive cost reduction by working with internal functionsskill",posted 26 february 2025,permanent
(senior) data engineer,https://www.randstad.com.sg/jobs/senior-data-engineer_singapore_44889032/,"S$7,000 - S$15,000 per month, AWS, Bonus","about companyI am currently working with a leading and reputable game studio. HQ in SG. 1,500 employees in China with 30+ employees in Singapore.Salary budget open! Base salary + AWS + variable bonus2-3 rounds of interview to offer stage. 5 days in office. about jobDesign, develop, and maintain scalable data pipelines to process and analyze data from multiple advertising platforms.Implement data models and ETL processes to support automated monitoring and",posted 26 february 2025,permanent
esp administrator,https://www.randstad.com.sg/jobs/esp-administrator_singapore_44888814/,"S$4,000 - S$4,800 per month",Immediate 1 year Contract position Location in town  about the company Top notch finance client of mine is looking for a ESP admin who will be responsible to manage and drive the procurement process to support business needs. This role requires a person who is adaptable across different categories and possess the ability to build relationships with both the business and key suppliersabout the role The Enterprise Sourcing & Procurement (ESP) team provides s,posted 26 february 2025,contract
operations & maintenance engineer (oil & gas),https://www.randstad.com.sg/jobs/operations-maintenance-engineer-oil-gas_singapore_44888806/,"S$6,000 - S$8,000 per month, VB","We are working with a leading Oil & Gas company to hire an Operations Engineer (M&R). This role is suited for individuals with expertise in maintenance planning, engineering procurement, and project coordination within operational facilities.Key Responsibilities:Oversee maintenance projects to ensure the continued reliability and efficiency of operational facilities.Manage and coordinate procurement activities, including sourcing engineering materials and",posted 26 february 2025,permanent
software engineer c++ / cplusplus manufacturing,https://www.randstad.com.sg/jobs/software-engineer-c-cplusplus-manufacturing_singapore_44888764/,,"Work in a sizable team of software developers (>10)Grow together with a fast-growing companyAbout the companyOur client is a fast growing company within the high tech manufacturing industry. With a strong presence in APAC with Singapore being their headquarters, they are now looking for a new Software Engineer (C++) / Software Developer – Manufacturing to join their team.About the jobYour role involves:Designing, developing and maintaining software applica",posted 26 february 2025,permanent
senior electrical engineer – chemical mfg (jurong island),https://www.randstad.com.sg/jobs/senior-electrical-engineer-chemical-mfg-jurong-island_singapore_44888595/,"S$6,500 - S$9,000 per month, AWS, VB, Island Allw, Flexi Bens, Transport","Company Overview: Our client, a leading global player in the chemical manufacturing industry, is seeking a Senior Electrical Engineer to join their team in Singapore. This role will be based on Jurong Island, where the company operates a state-of-the-art facility producing high-value chemical products for various industries, including specialty chemicals, additives, and performance materials.About the Role:As a Senior Electrical Engineer, you will be respo",posted 26 february 2025,permanent
relationship manager (international banking),https://www.randstad.com.sg/jobs/relationship-manager-international-banking_singapore_44888451/,,"about the jobGrowing the wealth of high net-worth individuals and providing professional services for their banking needs; including insurance and investment across the following markets ((North Asia, Malaysia, Indonesia, ROW, India market etc.) about the manager/teamWorking alongside a competent team, you will have to opportunity to grow in the banking space.  skills and experience requiredA degree is minimally required with 3 years of experience in the",posted 26 february 2025,permanent
technical accountant and claims specialist (reinsurance),https://www.randstad.com.sg/jobs/technical-accountant-and-claims-specialist-reinsurance_singapore_44888433/,"S$5,000 - S$6,500 per month, Bonus + Benefits","about the clientOur client, one of the reinsurance arms of a leading global insurer and offering reinsurance services to brokers and insurers in all major markets.about the jobIn this position as an Technical Accountant and Claims Specialist, you will be expected to support the reinsurance business units and provide pre-bind/post-bind underwriting support across all business classes. You will be required to work with offices across the region and ensure al",posted 26 february 2025,permanent
vmware engineer,https://www.randstad.com.sg/jobs/vmware-engineer_singapore_44888380/,"S$7,000 - S$7,500 per month","about the companyOur Client is a MNC IT service & Consulting companyabout the jobWe are seeking a skilled VMware Engineer with strong expertise in solution delivery to join our dynamic IT team. The successful candidate will be responsible for designing, implementing, and optimizing VMware-based virtualized environments.This role will involve collaborating closely with cross-functional teams to deliver tailored infrastructure solutions, ensure seamless inte",posted 26 february 2025,permanent
fx/ interest rate trader - 5+ years of experience,https://www.randstad.com.sg/jobs/fx-interest-rate-trader-5-years-of-experience_singapore_44888375/,"S$8,000 - S$15,000 per month","about the companyMy client is one of the world’s largest banks, offering a comprehensive range of financial services, including corporate banking, private banking, and trade finance. They are looking for a FX/Interest Rate Trader to join their rank.  about the jobTrade regional currency spot, forward and NDF, specialized in SEA currenciesMarket making to CM clients or other BranchesSupport Sales function through generating market colours, pricings and any",posted 26 february 2025,permanent
plant engineer (automation / maintenance) | food manufacturing,https://www.randstad.com.sg/jobs/plant-engineer-automation-maintenance-food-manufacturing_singapore_44888060/,"S$4,500 - S$6,500 per month, VB + Shift Allowances","About the Company:We are representing a leading Fortune 500 company in the agribusiness and food production industry, specializing in edible oils, oilseeds, grains, and sugar. With a focus on driving automation within their newly established plant, this organization is committed to enhancing efficiency and production capabilities.Position Overview:Our client is seeking an experienced Plant Engineer to join their central kitchen manufacturing plant. This pi",posted 26 february 2025,permanent
marine service engineer (automation / tank level system),https://www.randstad.com.sg/jobs/marine-service-engineer-automation-tank-level-system_singapore_44888059/,"S$4,500 - S$5,500 per month, AWS, VB, OT allw, Transport allw","OverviewOur client, a leading provider of advanced maritime technology and automation systems, is seeking a Service Engineer to support their regional and global customers. This role focuses on providing field service, commissioning, and technical support for integrated control monitoring systems (ICMS) and propulsion/steering control systems. Candidates with hands-on experience in main engine and thruster operations will have an added advantage.The positi",posted 26 february 2025,permanent
it crm manager oracle crm / oracle cx or salesforce,https://www.randstad.com.sg/jobs/it-crm-manager-oracle-crm-oracle-cx-or-salesforce_singapore_44887981/,,"Exposure to latest technology (Company undergoing cloud transformation)Leadership role (managing a team inhouse)About the companyOur client is the market leader in their industry.  As part of their plan to invest in technology, they are now hiring a new CRM Manager, IT – Asia to implement their CRM system and manage the inhouse CRM team. Your responsibilities include:Playing the role of a bridge between the business (sales and marketing) and external vendo",posted 26 february 2025,permanent
trade execution executive - 6 months contract,https://www.randstad.com.sg/jobs/trade-execution-executive-6-months-contract_singapore_44887664/,"S$4,500 - S$5,000 per month","about the companyMy client is a well-established agri-commodity companies, they are looking for a trade execution executive for 6 months contract, potentially to get extend for excellent performance.   about the jobCoordinate chartering / shipping operations for all agriculture products;Handle import & export shipping documentsEnsure smooth execution in accordance to contract termsEnsure freight, shipping details and laytime transactions are keyed into sys",posted 26 february 2025,permanent
"manager / senior manager, cybersecurity consulting",https://www.randstad.com.sg/jobs/manager-senior-manager-cybersecurity-consulting_singapore_44883724/,"S$10,000 - S$15,000 per month","Newly created role – Part of the pioneer team.Proven ability to lead, develop client relationships, and manage complex cybersecurity engagements.Opportunity for growth, with potential to expand the team and company headcountabout the companyMy client is looking for an experienced and self-driven Manager / Senior Manager, Cybersecurity Consulting to join their Risk Consulting arm. As a key member of the team, you will lead the development and growth of the",posted 25 february 2025,permanent
shipping executive (chemical),https://www.randstad.com.sg/jobs/shipping-executive-chemical_tampines_44883463/,"S$4,000 - S$5,000 per month, bonuses",about the companywe are partnering with a leading global provider of surface treatment solutions (chemical manufacturing) and we are looking for an experienced professional to manage all logistics and inbound/outbound activities. about the joboversee all shipment process and documentations (import/export)manage 3PL partner's performancecollaborate with procurement team for any rates or service enquires. inventory managementskills and experience requiredbac,posted 25 february 2025,permanent
digital marketing enablement - b2b tech (2 yr contract),https://www.randstad.com.sg/jobs/digital-marketing-enablement-b2b-tech-2-yr-contract_singapore_44883267/,"S$5,500 - S$7,000 per month","about the companyMy client, a leading B2B tech company, is seeking a Digital Marketing Strategist/Enablement to enhance the use of digital tools across organic marketing channels, including CRM, website, and chatbot. This role will focus on developing strategies, managing digital nurture projects, optimizing digital workflows, and enabling APAC marketing teams to maximize the impact of their digital marketing initiatives.This is a contract position with th",posted 25 february 2025,permanent
hr generalist - manufacturing (east),https://www.randstad.com.sg/jobs/hr-generalist-manufacturing-east_singapore_44883254/,"S$4,000 - S$6,000 per month","about the companyOur client is a well-established European company in the manufacturing sector. They are currently looking to hire a Human Resources Generalist to join their team in Singapore.about the jobReporting to the HR Lead, you will be responsible to:Manage day-to-day HR operations efficientlyDevelop and enforce HR policies in compliance with company and local regulationsProvide HR policy guidance and support to employees and managementHandle payrol",posted 25 february 2025,permanent
esg manager (based in hanoi) | electronics manufacturer,https://www.randstad.com.sg/jobs/esg-manager-based-in-hanoi-electronics-manufacturer_vietnam_44882563/,"S$6,000 - S$8,000 per month, Overseas Allowance, Bonuses","Location: Hanoi, Vietnam (New Manufacturing Plant set-up) Company Overview:We are partnering with a global leader in technology and manufacturing to hire an ESG Manager for their new plant in Vietnam. This role will be pivotal in shaping and implementing the company's sustainability strategy, ensuring compliance with environmental, social, and governance (ESG) standards while driving impactful initiatives. Key Responsibilities: Environmental Sustainability",posted 25 february 2025,permanent
full stack developer,https://www.randstad.com.sg/jobs/full-stack-developer_singapore_44882543/,,"about the company:Our client is a multinational investment bank about the job:The role requires hands-on development, solution design, and deployment in a .NET environment while ensuring the solutions enhance productivity and meet business needs.As part of an Agile team, you will actively contribute to sprint planning, manage deliverables, and participate in discussions on technical solutions with a globally dispersed team.skills and experience required:St",posted 25 february 2025,contract
"manager / senior manager, cybersecurity consulting",https://www.randstad.com.sg/jobs/manager-senior-manager-cybersecurity-consulting_singapore_44882422/,"S$10,000 - S$15,000 per month","Newly created role – Part of the pioneer team.Proven ability to lead, develop client relationships, and manage complex cybersecurity engagements.Opportunity for growth, with potential to expand the team and company headcountabout the companyMy client is looking for an experienced and self-driven Manager / Senior Manager, Cybersecurity Consulting to join their Risk Consulting arm. As a key member of the team, you will lead the development and growth of the",posted 25 february 2025,permanent
