quarter,industry1,occupation1,job_vacancy
2005-Q2,manufacturing,"professional, managers, executive and technicians",2500
2005-Q2,manufacturing,"clerical, sales and services workers",400
2005-Q2,manufacturing,"production and transport operators, cleaners and labourers",3900
2005-Q2,construction,total,600
2005-Q2,construction,"professional, managers, executive and technicians",200
2005-Q2,construction,"clerical, sales and services workers",-
2005-Q2,construction,"production and transport operators, cleaners and labourers",400
2005-Q2,services,total,11600
2005-Q2,services,"professional, managers, executive and technicians",4200
2005-Q2,services,"clerical, sales and services workers",4900
2005-Q2,services,"production and transport operators, cleaners and labourers",2500
2005-Q2,others,total,300
2005-Q2,others,"professional, managers, executive and technicians",100
2005-Q2,others,"clerical, sales and services workers",-
2005-Q2,others,"production and transport operators, cleaners and labourers",200
2005-Q3,total,total,20100
2005-Q3,total,"professional, managers, executive and technicians",7500
2005-Q3,total,"clerical, sales and services workers",5800
2005-Q3,total,"production and transport operators, cleaners and labourers",6800
2005-Q3,manufacturing,total,6000
2005-Q3,manufacturing,"professional, managers, executive and technicians",2500
2005-Q3,manufacturing,"clerical, sales and services workers",300
2005-Q3,manufacturing,"production and transport operators, cleaners and labourers",3200
2005-Q3,construction,total,800
2005-Q3,construction,"professional, managers, executive and technicians",300
2005-Q3,construction,"clerical, sales and services workers",-
2005-Q3,construction,"production and transport operators, cleaners and labourers",500
2005-Q3,services,total,13000
2005-Q3,services,"professional, managers, executive and technicians",4600
2005-Q3,services,"clerical, sales and services workers",5400
2005-Q3,services,"production and transport operators, cleaners and labourers",3000
2005-Q3,others,total,300
2005-Q3,others,"professional, managers, executive and technicians",100
2005-Q3,others,"clerical, sales and services workers",-
2005-Q3,others,"production and transport operators, cleaners and labourers",200
2005-Q4,total,total,19800
2005-Q4,total,"professional, managers, executive and technicians",8100
2005-Q4,total,"clerical, sales and services workers",5400
2005-Q4,total,"production and transport operators, cleaners and labourers",6300
2005-Q4,manufacturing,total,6500
2005-Q4,manufacturing,"professional, managers, executive and technicians",3000
2005-Q4,manufacturing,"clerical, sales and services workers",500
2005-Q4,manufacturing,"production and transport operators, cleaners and labourers",3000
2005-Q4,construction,total,1000
2005-Q4,construction,"professional, managers, executive and technicians",300
2005-Q4,construction,"clerical, sales and services workers",100
2005-Q4,construction,"production and transport operators, cleaners and labourers",600
2005-Q4,services,total,12200
2005-Q4,services,"professional, managers, executive and technicians",4700
2005-Q4,services,"clerical, sales and services workers",4800
2005-Q4,services,"production and transport operators, cleaners and labourers",2600
2005-Q4,others,total,200
2005-Q4,others,"professional, managers, executive and technicians",100
2005-Q4,others,"clerical, sales and services workers",-
2005-Q4,others,"production and transport operators, cleaners and labourers",100
2006-Q1,total,total,26100
2006-Q1,total,"professional, managers, executive and technicians",11800
2006-Q1,total,"clerical, sales and services workers",7100
2006-Q1,total,"production and transport operators, cleaners and labourers",7200
2006-Q1,manufacturing,total,7300
2006-Q1,manufacturing,"professional, managers, executive and technicians",2900
2006-Q1,manufacturing,"clerical, sales and services workers",700
2006-Q1,manufacturing,"production and transport operators, cleaners and labourers",3700
2006-Q1,construction,total,700
2006-Q1,construction,"professional, managers, executive and technicians",300
2006-Q1,construction,"clerical, sales and services workers",100
2006-Q1,construction,"production and transport operators, cleaners and labourers",300
2006-Q1,services,total,17700
2006-Q1,services,"professional, managers, executive and technicians",8300
2011-Q2,total,total,55900
2006-Q1,services,"clerical, sales and services workers",6200
2006-Q1,services,"production and transport operators, cleaners and labourers",3200
2006-Q1,others,total,300
2006-Q1,others,"professional, managers, executive and technicians",200
2006-Q1,others,"clerical, sales and services workers",100
2006-Q1,others,"production and transport operators, cleaners and labourers",-
2006-Q2,total,total,33000
2006-Q2,total,"professional, managers, executive and technicians",14700
2006-Q2,total,"clerical, sales and services workers",8300
2006-Q2,total,"production and transport operators, cleaners and labourers",10000
2006-Q2,manufacturing,total,9300
2006-Q2,manufacturing,"professional, managers, executive and technicians",3400
2006-Q2,manufacturing,"clerical, sales and services workers",700
2006-Q2,manufacturing,"production and transport operators, cleaners and labourers",5100
2006-Q2,construction,total,2200
2006-Q2,construction,"professional, managers, executive and technicians",800
2006-Q2,construction,"clerical, sales and services workers",100
2006-Q2,construction,"production and transport operators, cleaners and labourers",1300
2006-Q2,services,total,21100
2006-Q2,services,"professional, managers, executive and technicians",10100
2006-Q2,services,"clerical, sales and services workers",7400
2006-Q2,services,"production and transport operators, cleaners and labourers",3600
2006-Q2,others,total,500
2006-Q2,others,"professional, managers, executive and technicians",400
2006-Q2,others,"clerical, sales and services workers",-
2006-Q2,others,"production and transport operators, cleaners and labourers",100
2006-Q3,total,total,32200
2006-Q3,total,"professional, managers, executive and technicians",13700
2006-Q3,total,"clerical, sales and services workers",8300
2006-Q3,total,"production and transport operators, cleaners and labourers",10200
2006-Q3,manufacturing,total,8600
2006-Q3,manufacturing,"professional, managers, executive and technicians",3100
2006-Q3,manufacturing,"clerical, sales and services workers",400
2006-Q3,manufacturing,"production and transport operators, cleaners and labourers",5100
2006-Q3,construction,total,1400
2006-Q3,construction,"professional, managers, executive and technicians",400
2006-Q3,construction,"clerical, sales and services workers",100
2006-Q3,construction,"production and transport operators, cleaners and labourers",900
2006-Q3,services,total,22000
2006-Q3,services,"professional, managers, executive and technicians",9900
2006-Q3,services,"clerical, sales and services workers",7900
2006-Q3,services,"production and transport operators, cleaners and labourers",4200
2006-Q3,others,total,300
2006-Q3,others,"professional, managers, executive and technicians",200
2006-Q3,others,"clerical, sales and services workers",-
2006-Q3,others,"production and transport operators, cleaners and labourers",100
2006-Q4,total,total,33300
2006-Q4,total,"professional, managers, executive and technicians",15100
2006-Q4,total,"clerical, sales and services workers",8700
2006-Q4,total,"production and transport operators, cleaners and labourers",9600
2006-Q4,manufacturing,total,8000
2006-Q4,manufacturing,"professional, managers, executive and technicians",3000
2006-Q4,manufacturing,"clerical, sales and services workers",600
2006-Q4,manufacturing,"production and transport operators, cleaners and labourers",4400
2006-Q4,construction,total,1900
2006-Q4,construction,"professional, managers, executive and technicians",500
2006-Q4,construction,"clerical, sales and services workers",100
2006-Q4,construction,"production and transport operators, cleaners and labourers",1400
2006-Q4,services,total,23300
2006-Q4,services,"professional, managers, executive and technicians",11500
2006-Q4,services,"clerical, sales and services workers",8000
2006-Q4,services,"production and transport operators, cleaners and labourers",3800
2006-Q4,others,total,200
2006-Q4,others,"professional, managers, executive and technicians",100
2006-Q4,others,"clerical, sales and services workers",-
2006-Q4,others,"production and transport operators, cleaners and labourers",100
2007-Q1,total,total,35700
2007-Q1,total,"professional, managers, executive and technicians",16000
2007-Q1,total,"clerical, sales and services workers",9200
2007-Q1,total,"production and transport operators, cleaners and labourers",10600
2007-Q1,manufacturing,total,9000
2007-Q1,manufacturing,"professional, managers, executive and technicians",3300
2007-Q1,manufacturing,"clerical, sales and services workers",600
2007-Q1,manufacturing,"production and transport operators, cleaners and labourers",5100
2007-Q1,construction,total,1800
2007-Q1,construction,"professional, managers, executive and technicians",400
2007-Q1,construction,"clerical, sales and services workers",200
2007-Q1,construction,"production and transport operators, cleaners and labourers",1200
2007-Q1,services,total,24600
2007-Q1,services,"professional, managers, executive and technicians",12100
2007-Q1,services,"clerical, sales and services workers",8400
2018-Q2,construction,total,1900
2007-Q1,services,"production and transport operators, cleaners and labourers",4100
2007-Q1,others,total,200
2007-Q1,others,"professional, managers, executive and technicians",100
2007-Q1,others,"clerical, sales and services workers",-
2007-Q1,others,"production and transport operators, cleaners and labourers",-
2007-Q2,total,total,39200
2007-Q2,total,"professional, managers, executive and technicians",18500
2007-Q2,total,"clerical, sales and services workers",10200
2007-Q2,total,"production and transport operators, cleaners and labourers",10500
2007-Q2,manufacturing,total,8400
2007-Q2,manufacturing,"professional, managers, executive and technicians",3400
2007-Q2,manufacturing,"clerical, sales and services workers",700
2007-Q2,manufacturing,"production and transport operators, cleaners and labourers",4400
2007-Q2,construction,total,2400
2007-Q2,construction,"professional, managers, executive and technicians",700
2007-Q2,construction,"clerical, sales and services workers",200
2007-Q2,construction,"production and transport operators, cleaners and labourers",1600
2007-Q2,services,total,27700
2007-Q2,services,"professional, managers, executive and technicians",13800
2007-Q2,services,"clerical, sales and services workers",9300
2007-Q2,services,"production and transport operators, cleaners and labourers",4600
2007-Q2,others,total,600
2007-Q2,others,"professional, managers, executive and technicians",600
2007-Q2,others,"clerical, sales and services workers",-
2007-Q2,others,"production and transport operators, cleaners and labourers",-
2007-Q3,total,total,38800
2007-Q3,total,"professional, managers, executive and technicians",17600
2007-Q3,total,"clerical, sales and services workers",10200
2007-Q3,total,"production and transport operators, cleaners and labourers",11000
2007-Q3,manufacturing,total,7900
2007-Q3,manufacturing,"professional, managers, executive and technicians",3100
2007-Q3,manufacturing,"clerical, sales and services workers",500
2007-Q3,manufacturing,"production and transport operators, cleaners and labourers",4300
2007-Q3,construction,total,2600
2007-Q3,construction,"professional, managers, executive and technicians",700
2007-Q3,construction,"clerical, sales and services workers",100
2007-Q3,construction,"production and transport operators, cleaners and labourers",1700
2007-Q3,services,total,27700
2007-Q3,services,"professional, managers, executive and technicians",13300
2007-Q3,services,"clerical, sales and services workers",9500
2007-Q3,services,"production and transport operators, cleaners and labourers",4900
2007-Q3,others,total,500
2007-Q3,others,"professional, managers, executive and technicians",500
2007-Q3,others,"clerical, sales and services workers",-
2007-Q3,others,"production and transport operators, cleaners and labourers",100
2007-Q4,total,total,40800
2007-Q4,total,"professional, managers, executive and technicians",17700
2007-Q4,total,"clerical, sales and services workers",10400
2007-Q4,total,"production and transport operators, cleaners and labourers",12600
2007-Q4,manufacturing,total,8800
2007-Q4,manufacturing,"professional, managers, executive and technicians",3300
2007-Q4,manufacturing,"clerical, sales and services workers",700
2007-Q4,manufacturing,"production and transport operators, cleaners and labourers",4900
2007-Q4,construction,total,3000
2007-Q4,construction,"professional, managers, executive and technicians",700
2007-Q4,construction,"clerical, sales and services workers",200
2007-Q4,construction,"production and transport operators, cleaners and labourers",2100
2007-Q4,services,total,28400
2007-Q4,services,"professional, managers, executive and technicians",13200
2007-Q4,services,"clerical, sales and services workers",9500
2007-Q4,services,"production and transport operators, cleaners and labourers",5700
2007-Q4,others,total,600
2007-Q4,others,"professional, managers, executive and technicians",500
2007-Q4,others,"clerical, sales and services workers",-
2007-Q4,others,"production and transport operators, cleaners and labourers",-
2008-Q1,total,total,40900
2008-Q1,total,"professional, managers, executive and technicians",18900
2008-Q1,total,"clerical, sales and services workers",10400
2008-Q1,total,"production and transport operators, cleaners and labourers",11700
2008-Q1,manufacturing,total,8300
2008-Q1,manufacturing,"professional, managers, executive and technicians",3400
2008-Q1,manufacturing,"clerical, sales and services workers",700
2008-Q1,manufacturing,"production and transport operators, cleaners and labourers",4200
2008-Q1,construction,total,3400
2008-Q1,construction,"professional, managers, executive and technicians",1000
2008-Q1,construction,"clerical, sales and services workers",300
2008-Q1,construction,"production and transport operators, cleaners and labourers",2100
2008-Q1,services,total,28800
2008-Q1,services,"professional, managers, executive and technicians",14000
2008-Q1,services,"clerical, sales and services workers",9400
2008-Q1,services,"production and transport operators, cleaners and labourers",5400
2008-Q1,others,"professional, managers, executive and technicians",400
2008-Q1,others,"clerical, sales and services workers",-
2008-Q1,others,"production and transport operators, cleaners and labourers",-
2008-Q2,total,total,42300
2008-Q2,total,"professional, managers, executive and technicians",20200
2008-Q2,total,"clerical, sales and services workers",10900
2008-Q2,total,"production and transport operators, cleaners and labourers",11200
2008-Q2,manufacturing,total,7700
2008-Q2,manufacturing,"professional, managers, executive and technicians",3500
2008-Q2,manufacturing,"clerical, sales and services workers",900
2008-Q2,manufacturing,"production and transport operators, cleaners and labourers",3300
2008-Q2,construction,total,3600
2008-Q2,construction,"professional, managers, executive and technicians",1000
2008-Q2,construction,"clerical, sales and services workers",300
2008-Q2,construction,"production and transport operators, cleaners and labourers",2400
2008-Q2,services,total,30300
2008-Q2,services,"professional, managers, executive and technicians",15200
2008-Q2,services,"clerical, sales and services workers",9700
2008-Q2,services,"production and transport operators, cleaners and labourers",5400
2008-Q2,others,total,700
2008-Q2,others,"professional, managers, executive and technicians",500
2008-Q2,others,"clerical, sales and services workers",-
2008-Q2,others,"production and transport operators, cleaners and labourers",200
2008-Q3,total,total,40400
2008-Q3,total,"professional, managers, executive and technicians",18600
2008-Q3,total,"clerical, sales and services workers",10200
2008-Q3,total,"production and transport operators, cleaners and labourers",11700
2008-Q3,manufacturing,total,7300
2008-Q3,manufacturing,"professional, managers, executive and technicians",2800
2008-Q3,manufacturing,"clerical, sales and services workers",400
2008-Q3,manufacturing,"production and transport operators, cleaners and labourers",4100
2008-Q3,construction,total,3600
2008-Q3,construction,"professional, managers, executive and technicians",800
2008-Q3,construction,"clerical, sales and services workers",100
2008-Q3,construction,"production and transport operators, cleaners and labourers",2700
2008-Q3,services,total,29200
2008-Q3,services,"professional, managers, executive and technicians",14900
2008-Q3,services,"clerical, sales and services workers",9600
2008-Q3,services,"production and transport operators, cleaners and labourers",4700
2008-Q3,others,total,400
2008-Q3,others,"professional, managers, executive and technicians",200
2008-Q3,others,"clerical, sales and services workers",-
2008-Q3,others,"production and transport operators, cleaners and labourers",200
2008-Q4,total,total,27400
2008-Q4,total,"professional, managers, executive and technicians",13800
2008-Q4,total,"clerical, sales and services workers",8200
2008-Q4,total,"production and transport operators, cleaners and labourers",5400
2008-Q4,manufacturing,total,2900
2008-Q4,manufacturing,"professional, managers, executive and technicians",1200
2008-Q4,manufacturing,"clerical, sales and services workers",300
2008-Q4,manufacturing,"production and transport operators, cleaners and labourers",1400
2008-Q4,construction,total,1300
2008-Q4,construction,"professional, managers, executive and technicians",400
2008-Q4,construction,"clerical, sales and services workers",100
2008-Q4,construction,"production and transport operators, cleaners and labourers",900
2008-Q4,services,total,22800
2008-Q4,services,"professional, managers, executive and technicians",12000
2008-Q4,services,"clerical, sales and services workers",7800
2008-Q4,services,"production and transport operators, cleaners and labourers",3000
2008-Q4,others,total,300
2008-Q4,others,"professional, managers, executive and technicians",200
2008-Q4,others,"clerical, sales and services workers",-
2008-Q4,others,"production and transport operators, cleaners and labourers",200
2009-Q1,total,total,22900
2009-Q1,total,"professional, managers, executive and technicians",12500
2009-Q1,total,"clerical, sales and services workers",6100
2009-Q1,total,"production and transport operators, cleaners and labourers",4300
2009-Q1,manufacturing,total,2700
2009-Q1,manufacturing,"professional, managers, executive and technicians",1100
2009-Q1,manufacturing,"clerical, sales and services workers",300
2009-Q1,manufacturing,"production and transport operators, cleaners and labourers",1200
2009-Q1,construction,total,1100
2009-Q1,construction,"professional, managers, executive and technicians",300
2009-Q1,construction,"clerical, sales and services workers",100
2009-Q1,construction,"production and transport operators, cleaners and labourers",700
2009-Q1,services,total,18900
2009-Q1,services,"professional, managers, executive and technicians",10800
2009-Q1,services,"clerical, sales and services workers",5700
2009-Q1,services,"production and transport operators, cleaners and labourers",2400
2009-Q1,others,total,200
2009-Q1,others,"professional, managers, executive and technicians",200
2009-Q1,others,"clerical, sales and services workers",-
2009-Q1,others,"production and transport operators, cleaners and labourers",-
2009-Q2,total,total,26100
2009-Q2,total,"professional, managers, executive and technicians",14400
2009-Q2,total,"clerical, sales and services workers",6300
2009-Q2,total,"production and transport operators, cleaners and labourers",5400
2009-Q2,manufacturing,total,4300
2009-Q2,manufacturing,"professional, managers, executive and technicians",1500
2009-Q2,manufacturing,"clerical, sales and services workers",500
2009-Q2,manufacturing,"production and transport operators, cleaners and labourers",2300
2009-Q2,construction,total,1400
2009-Q2,construction,"professional, managers, executive and technicians",400
2009-Q2,construction,"clerical, sales and services workers",100
2009-Q2,construction,"production and transport operators, cleaners and labourers",900
2009-Q2,services,total,20200
2009-Q2,services,"professional, managers, executive and technicians",12300
2009-Q2,services,"clerical, sales and services workers",5700
2009-Q2,services,"production and transport operators, cleaners and labourers",2200
2009-Q2,others,total,200
2009-Q2,others,"professional, managers, executive and technicians",200
2009-Q2,others,"clerical, sales and services workers",-
2009-Q2,others,"production and transport operators, cleaners and labourers",-
2009-Q3,total,total,36900
2009-Q3,total,"professional, managers, executive and technicians",16300
2009-Q3,total,"clerical, sales and services workers",10200
2009-Q3,total,"production and transport operators, cleaners and labourers",10500
2009-Q3,manufacturing,total,6000
2009-Q3,manufacturing,"professional, managers, executive and technicians",1700
2009-Q3,manufacturing,"clerical, sales and services workers",400
2009-Q3,manufacturing,"production and transport operators, cleaners and labourers",3800
2009-Q3,construction,total,3000
2009-Q3,construction,"professional, managers, executive and technicians",700
2009-Q3,construction,"clerical, sales and services workers",100
2009-Q3,construction,"production and transport operators, cleaners and labourers",2200
2009-Q3,services,total,27500
2009-Q3,services,"professional, managers, executive and technicians",13600
2009-Q3,services,"clerical, sales and services workers",9600
2009-Q3,services,"production and transport operators, cleaners and labourers",4200
2009-Q3,others,total,500
2009-Q3,others,"professional, managers, executive and technicians",200
2009-Q3,others,"clerical, sales and services workers",-
2009-Q3,others,"production and transport operators, cleaners and labourers",300
2009-Q4,total,total,35800
2009-Q4,total,"professional, managers, executive and technicians",17200
2009-Q4,total,"clerical, sales and services workers",9500
2009-Q4,total,"production and transport operators, cleaners and labourers",9000
2009-Q4,manufacturing,total,6100
2009-Q4,manufacturing,"professional, managers, executive and technicians",1900
2009-Q4,manufacturing,"clerical, sales and services workers",400
2009-Q4,manufacturing,"production and transport operators, cleaners and labourers",3700
2009-Q4,construction,total,2000
2009-Q4,construction,"professional, managers, executive and technicians",800
2009-Q4,construction,"clerical, sales and services workers",200
2009-Q4,construction,"production and transport operators, cleaners and labourers",1100
2009-Q4,services,total,27300
2009-Q4,services,"professional, managers, executive and technicians",14300
2009-Q4,services,"clerical, sales and services workers",8900
2009-Q4,services,"production and transport operators, cleaners and labourers",4000
2009-Q4,others,total,400
2009-Q4,others,"professional, managers, executive and technicians",200
2009-Q4,others,"clerical, sales and services workers",-
2009-Q4,others,"production and transport operators, cleaners and labourers",200
2010-Q1,total,total,37300
2010-Q1,total,"professional, managers, executive and technicians",17200
2010-Q1,total,"clerical, sales and services workers",9900
2010-Q1,total,"production and transport operators, cleaners and labourers",10200
2010-Q1,manufacturing,total,7800
2010-Q1,manufacturing,"professional, managers, executive and technicians",2600
2010-Q1,manufacturing,"clerical, sales and services workers",700
2010-Q1,manufacturing,"production and transport operators, cleaners and labourers",4600
2010-Q1,construction,total,2100
2010-Q1,construction,"professional, managers, executive and technicians",700
2010-Q1,construction,"clerical, sales and services workers",200
2010-Q1,construction,"production and transport operators, cleaners and labourers",1200
2010-Q1,services,total,27000
2010-Q1,services,"professional, managers, executive and technicians",13800
2010-Q1,services,"clerical, sales and services workers",9100
2010-Q1,services,"production and transport operators, cleaners and labourers",4200
2010-Q1,others,total,400
2010-Q1,others,"professional, managers, executive and technicians",200
2010-Q1,others,"clerical, sales and services workers",-
2021-Q2,services,total,66200
2010-Q1,others,"production and transport operators, cleaners and labourers",200
2010-Q2,total,total,45100
2010-Q2,total,"professional, managers, executive and technicians",20900
2010-Q2,total,"clerical, sales and services workers",12000
2010-Q2,total,"production and transport operators, cleaners and labourers",12200
2010-Q2,manufacturing,total,8900
2010-Q2,manufacturing,"professional, managers, executive and technicians",3400
2010-Q2,manufacturing,"clerical, sales and services workers",700
2010-Q2,manufacturing,"production and transport operators, cleaners and labourers",4800
2010-Q2,construction,total,2000
2010-Q2,construction,"professional, managers, executive and technicians",700
2010-Q2,construction,"clerical, sales and services workers",200
2010-Q2,construction,"production and transport operators, cleaners and labourers",1100
2010-Q2,services,total,33700
2010-Q2,services,"professional, managers, executive and technicians",16500
2010-Q2,services,"clerical, sales and services workers",11100
2010-Q2,services,"production and transport operators, cleaners and labourers",6100
2010-Q2,others,total,400
2010-Q2,others,"professional, managers, executive and technicians",300
2010-Q2,others,"clerical, sales and services workers",-
2010-Q2,others,"production and transport operators, cleaners and labourers",100
2010-Q3,total,total,50200
2010-Q3,total,"professional, managers, executive and technicians",21800
2010-Q3,total,"clerical, sales and services workers",14700
2010-Q3,total,"production and transport operators, cleaners and labourers",13700
2010-Q3,manufacturing,total,8500
2010-Q3,manufacturing,"professional, managers, executive and technicians",3400
2010-Q3,manufacturing,"clerical, sales and services workers",600
2010-Q3,manufacturing,"production and transport operators, cleaners and labourers",4500
2010-Q3,construction,total,3400
2010-Q3,construction,"professional, managers, executive and technicians",800
2010-Q3,construction,"clerical, sales and services workers",200
2010-Q3,construction,"production and transport operators, cleaners and labourers",2400
2010-Q3,services,total,37900
2010-Q3,services,"professional, managers, executive and technicians",17200
2010-Q3,services,"clerical, sales and services workers",13900
2010-Q3,services,"production and transport operators, cleaners and labourers",6800
2010-Q3,others,total,400
2010-Q3,others,"professional, managers, executive and technicians",300
2010-Q3,others,"clerical, sales and services workers",-
2010-Q3,others,"production and transport operators, cleaners and labourers",100
2010-Q4,total,total,44100
2010-Q4,total,"professional, managers, executive and technicians",20300
2010-Q4,total,"clerical, sales and services workers",11500
2010-Q4,total,"production and transport operators, cleaners and labourers",12300
2010-Q4,manufacturing,total,7400
2010-Q4,manufacturing,"professional, managers, executive and technicians",3000
2010-Q4,manufacturing,"clerical, sales and services workers",600
2010-Q4,manufacturing,"production and transport operators, cleaners and labourers",3800
2010-Q4,construction,total,3400
2010-Q4,construction,"professional, managers, executive and technicians",700
2010-Q4,construction,"clerical, sales and services workers",300
2010-Q4,construction,"production and transport operators, cleaners and labourers",2400
2010-Q4,services,total,32800
2010-Q4,services,"professional, managers, executive and technicians",16200
2010-Q4,services,"clerical, sales and services workers",10600
2010-Q4,services,"production and transport operators, cleaners and labourers",6000
2010-Q4,others,total,400
2010-Q4,others,"professional, managers, executive and technicians",300
2010-Q4,others,"clerical, sales and services workers",-
2010-Q4,others,"production and transport operators, cleaners and labourers",100
2011-Q1,total,total,49300
2011-Q1,total,"professional, managers, executive and technicians",22400
2011-Q1,total,"clerical, sales and services workers",12900
2011-Q1,total,"production and transport operators, cleaners and labourers",14100
2011-Q1,manufacturing,total,9200
2011-Q1,manufacturing,"professional, managers, executive and technicians",3800
2011-Q1,manufacturing,"clerical, sales and services workers",700
2011-Q1,manufacturing,"production and transport operators, cleaners and labourers",4700
2011-Q1,construction,total,3700
2011-Q1,construction,"professional, managers, executive and technicians",400
2011-Q1,construction,"clerical, sales and services workers",200
2011-Q1,construction,"production and transport operators, cleaners and labourers",3100
2011-Q1,services,total,36000
2011-Q1,services,"professional, managers, executive and technicians",17900
2011-Q1,services,"clerical, sales and services workers",11900
2011-Q1,services,"production and transport operators, cleaners and labourers",6200
2011-Q1,others,total,400
2011-Q1,others,"professional, managers, executive and technicians",300
2011-Q1,others,"clerical, sales and services workers",-
2011-Q1,others,"production and transport operators, cleaners and labourers",100
2011-Q2,total,"professional, managers, executive and technicians",25600
2011-Q2,total,"clerical, sales and services workers",15000
2011-Q2,total,"production and transport operators, cleaners and labourers",15300
2011-Q2,manufacturing,total,10300
2011-Q2,manufacturing,"professional, managers, executive and technicians",3900
2011-Q2,manufacturing,"clerical, sales and services workers",1100
2011-Q2,manufacturing,"production and transport operators, cleaners and labourers",5300
2011-Q2,construction,total,3700
2011-Q2,construction,"professional, managers, executive and technicians",600
2011-Q2,construction,"clerical, sales and services workers",200
2011-Q2,construction,"production and transport operators, cleaners and labourers",2900
2011-Q2,services,total,41200
2011-Q2,services,"professional, managers, executive and technicians",20700
2011-Q2,services,"clerical, sales and services workers",13700
2011-Q2,services,"production and transport operators, cleaners and labourers",6900
2011-Q2,others,total,700
2011-Q2,others,"professional, managers, executive and technicians",400
2011-Q2,others,"clerical, sales and services workers",-
2011-Q2,others,"production and transport operators, cleaners and labourers",200
2011-Q3,total,total,54000
2011-Q3,total,"professional, managers, executive and technicians",22000
2011-Q3,total,"clerical, sales and services workers",15800
2011-Q3,total,"production and transport operators, cleaners and labourers",16100
2011-Q3,manufacturing,total,8500
2011-Q3,manufacturing,"professional, managers, executive and technicians",2400
2011-Q3,manufacturing,"clerical, sales and services workers",700
2011-Q3,manufacturing,"production and transport operators, cleaners and labourers",5300
2011-Q3,construction,total,3800
2011-Q3,construction,"professional, managers, executive and technicians",900
2011-Q3,construction,"clerical, sales and services workers",200
2011-Q3,construction,"production and transport operators, cleaners and labourers",2600
2011-Q3,services,total,41100
2011-Q3,services,"professional, managers, executive and technicians",18300
2011-Q3,services,"clerical, sales and services workers",14900
2011-Q3,services,"production and transport operators, cleaners and labourers",8000
2011-Q3,others,total,600
2011-Q3,others,"professional, managers, executive and technicians",400
2011-Q3,others,"clerical, sales and services workers",-
2011-Q3,others,"production and transport operators, cleaners and labourers",200
2011-Q4,total,total,51700
2011-Q4,total,"professional, managers, executive and technicians",21400
2011-Q4,total,"clerical, sales and services workers",16200
2011-Q4,total,"production and transport operators, cleaners and labourers",14100
2011-Q4,manufacturing,total,7800
2011-Q4,manufacturing,"professional, managers, executive and technicians",3000
2011-Q4,manufacturing,"clerical, sales and services workers",900
2011-Q4,manufacturing,"production and transport operators, cleaners and labourers",3900
2011-Q4,construction,total,3400
2011-Q4,construction,"professional, managers, executive and technicians",600
2011-Q4,construction,"clerical, sales and services workers",300
2011-Q4,construction,"production and transport operators, cleaners and labourers",2600
2011-Q4,services,total,39900
2011-Q4,services,"professional, managers, executive and technicians",17200
2011-Q4,services,"clerical, sales and services workers",15100
2011-Q4,services,"production and transport operators, cleaners and labourers",7600
2011-Q4,others,total,600
2011-Q4,others,"professional, managers, executive and technicians",500
2011-Q4,others,"clerical, sales and services workers",-
2011-Q4,others,"production and transport operators, cleaners and labourers",100
2012-Q1,total,total,46800
2012-Q1,total,"professional, managers, executive and technicians",20600
2012-Q1,total,"clerical, sales and services workers",13800
2012-Q1,total,"production and transport operators, cleaners and labourers",12400
2012-Q1,manufacturing,total,7600
2012-Q1,manufacturing,"professional, managers, executive and technicians",3100
2012-Q1,manufacturing,"clerical, sales and services workers",500
2012-Q1,manufacturing,"production and transport operators, cleaners and labourers",4000
2012-Q1,construction,total,3300
2012-Q1,construction,"professional, managers, executive and technicians",700
2012-Q1,construction,"clerical, sales and services workers",100
2012-Q1,construction,"production and transport operators, cleaners and labourers",2500
2012-Q1,services,total,35300
2012-Q1,services,"professional, managers, executive and technicians",16500
2012-Q1,services,"clerical, sales and services workers",13100
2012-Q1,services,"production and transport operators, cleaners and labourers",5800
2012-Q1,others,total,500
2012-Q1,others,"professional, managers, executive and technicians",400
2012-Q1,others,"clerical, sales and services workers",-
2012-Q1,others,"production and transport operators, cleaners and labourers",100
2012-Q2,total,total,47300
2012-Q2,total,"professional, managers, executive and technicians",20000
2012-Q2,total,"clerical, sales and services workers",13300
2012-Q2,total,"production and transport operators, cleaners and labourers",14000
2012-Q2,manufacturing,total,7700
2012-Q2,manufacturing,"professional, managers, executive and technicians",3000
2012-Q2,manufacturing,"clerical, sales and services workers",500
2012-Q2,manufacturing,"production and transport operators, cleaners and labourers",4200
2012-Q2,construction,total,3400
2012-Q2,construction,"professional, managers, executive and technicians",700
2012-Q2,construction,"clerical, sales and services workers",200
2012-Q2,construction,"production and transport operators, cleaners and labourers",2400
2012-Q2,services,total,35400
2012-Q2,services,"professional, managers, executive and technicians",15800
2012-Q2,services,"clerical, sales and services workers",12500
2012-Q2,services,"production and transport operators, cleaners and labourers",7100
2012-Q2,others,total,800
2012-Q2,others,"professional, managers, executive and technicians",500
2012-Q2,others,"clerical, sales and services workers",-
2012-Q2,others,"production and transport operators, cleaners and labourers",300
2012-Q3,total,total,56400
2012-Q3,total,"professional, managers, executive and technicians",22700
2012-Q3,total,"clerical, sales and services workers",17600
2012-Q3,total,"production and transport operators, cleaners and labourers",16100
2012-Q3,manufacturing,total,7100
2012-Q3,manufacturing,"professional, managers, executive and technicians",2400
2012-Q3,manufacturing,"clerical, sales and services workers",600
2012-Q3,manufacturing,"production and transport operators, cleaners and labourers",4100
2012-Q3,construction,total,4100
