quarter,industry1,industry2,occupation1,job_vacancy
2003-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",400
2003-Q2,construction,construction,total,700
2003-Q2,construction,construction,"professional, managers, executive and technicians",100
2003-Q2,construction,construction,"clerical, sales and services workers",-
2003-Q2,construction,construction,"production and transport operators, cleaners and labourers",600
2003-Q2,services,wholesale and retail trade,total,1300
2003-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",400
2003-Q2,services,wholesale and retail trade,"clerical, sales and services workers",700
2003-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",200
2003-Q2,services,transport and storage,total,1600
2003-Q2,services,transport and storage,"professional, managers, executive and technicians",100
2012-Q1,manufacturing,"food, beverages and tobacco",total,400
2003-Q2,services,transport and storage,"clerical, sales and services workers",400
2003-Q2,services,transport and storage,"production and transport operators, cleaners and labourers",1100
2003-Q2,services,hotels and restaurants,total,700
2003-Q2,services,hotels and restaurants,"professional, managers, executive and technicians",100
2003-Q2,services,hotels and restaurants,"clerical, sales and services workers",500
2003-Q2,services,hotels and restaurants,"production and transport operators, cleaners and labourers",100
2003-Q2,services,information and communications,total,600
2003-Q2,services,information and communications,"professional, managers, executive and technicians",500
2003-Q2,services,information and communications,"clerical, sales and services workers",-
2003-Q2,services,information and communications,"production and transport operators, cleaners and labourers",-
2003-Q2,services,financial services,total,700
2003-Q2,services,financial services,"professional, managers, executive and technicians",600
2003-Q2,services,financial services,"clerical, sales and services workers",100
2003-Q2,services,financial services,"production and transport operators, cleaners and labourers",-
2003-Q2,services,real estate and leasing services,total,200
2003-Q2,services,real estate and leasing services,"professional, managers, executive and technicians",100
2003-Q2,services,real estate and leasing services,"clerical, sales and services workers",-
2003-Q2,services,real estate and leasing services,"production and transport operators, cleaners and labourers",100
2003-Q2,services,professional services,total,300
2003-Q2,services,professional services,"professional, managers, executive and technicians",200
2003-Q2,services,professional services,"clerical, sales and services workers",100
2003-Q2,services,professional services,"production and transport operators, cleaners and labourers",-
2003-Q2,services,administrative and support services,total,200
2003-Q2,services,administrative and support services,"professional, managers, executive and technicians",100
2003-Q2,services,administrative and support services,"clerical, sales and services workers",100
2003-Q2,services,administrative and support services,"production and transport operators, cleaners and labourers",100
2003-Q2,services,"community, social and personal services",total,1000
2003-Q2,services,"community, social and personal services","professional, managers, executive and technicians",500
2003-Q2,services,"community, social and personal services","clerical, sales and services workers",500
2003-Q2,services,"community, social and personal services","production and transport operators, cleaners and labourers",100
2003-Q2,others,others,total,200
2003-Q2,others,others,"professional, managers, executive and technicians",200
2003-Q2,others,others,"clerical, sales and services workers",-
2003-Q2,others,others,"production and transport operators, cleaners and labourers",100
2003-Q3,total,total,total,13100
2003-Q3,total,total,"professional, managers, executive and technicians",3600
2003-Q3,total,total,"clerical, sales and services workers",3800
2003-Q3,total,total,"production and transport operators, cleaners and labourers",5700
2003-Q3,manufacturing,"food, beverages and tobacco",total,200
2003-Q3,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
2003-Q3,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",-
2003-Q3,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",100
2003-Q3,manufacturing,paper products and printing,total,100
2003-Q3,manufacturing,paper products and printing,"professional, managers, executive and technicians",-
2003-Q3,manufacturing,paper products and printing,"clerical, sales and services workers",-
2003-Q3,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",100
2003-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",total,100
2003-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",100
2003-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2003-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2003-Q3,manufacturing,rubber and plastic products,total,400
2003-Q3,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
2003-Q3,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
2003-Q3,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",300
2003-Q3,manufacturing,fabricated metal products,total,400
2003-Q3,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
2003-Q3,manufacturing,fabricated metal products,"clerical, sales and services workers",-
2003-Q3,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",400
2003-Q3,manufacturing,machinery and equipment,total,300
2003-Q3,manufacturing,machinery and equipment,"professional, managers, executive and technicians",100
2003-Q3,manufacturing,machinery and equipment,"clerical, sales and services workers",-
2003-Q3,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",200
2003-Q3,manufacturing,electrical products,total,-
2003-Q3,manufacturing,electrical products,"professional, managers, executive and technicians",-
2012-Q2,services,financial and insurance services,total,2500
2003-Q3,manufacturing,electrical products,"clerical, sales and services workers",-
2003-Q3,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
2003-Q3,manufacturing,electronic products,total,1200
2003-Q3,manufacturing,electronic products,"professional, managers, executive and technicians",600
2003-Q3,manufacturing,electronic products,"clerical, sales and services workers",-
2003-Q3,manufacturing,electronic products,"production and transport operators, cleaners and labourers",600
2003-Q3,manufacturing,medical and precision instruments,total,200
2003-Q3,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",100
2003-Q3,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
2003-Q3,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",100
2003-Q3,manufacturing,transport equipment,total,1000
2003-Q3,manufacturing,transport equipment,"professional, managers, executive and technicians",200
2003-Q3,manufacturing,transport equipment,"clerical, sales and services workers",-
2003-Q3,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",900
2003-Q3,manufacturing,other manufacturing industries,total,500
2003-Q3,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
2003-Q3,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
2003-Q3,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",400
2003-Q3,construction,construction,total,600
2003-Q3,construction,construction,"professional, managers, executive and technicians",100
2003-Q3,construction,construction,"clerical, sales and services workers",-
2003-Q3,construction,construction,"production and transport operators, cleaners and labourers",400
2003-Q3,services,wholesale and retail trade,total,1300
2003-Q3,services,wholesale and retail trade,"professional, managers, executive and technicians",300
2003-Q3,services,wholesale and retail trade,"clerical, sales and services workers",800
2003-Q3,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",100
2003-Q3,services,transport and storage,total,1300
2003-Q3,services,transport and storage,"professional, managers, executive and technicians",100
2003-Q3,services,transport and storage,"clerical, sales and services workers",300
2003-Q3,services,transport and storage,"production and transport operators, cleaners and labourers",1000
2003-Q3,services,hotels and restaurants,total,1600
2003-Q3,services,hotels and restaurants,"professional, managers, executive and technicians",100
2003-Q3,services,hotels and restaurants,"clerical, sales and services workers",1200
2003-Q3,services,hotels and restaurants,"production and transport operators, cleaners and labourers",300
2003-Q3,services,information and communications,total,400
2003-Q3,services,information and communications,"professional, managers, executive and technicians",400
2003-Q3,services,information and communications,"clerical, sales and services workers",100
2003-Q3,services,information and communications,"production and transport operators, cleaners and labourers",-
2003-Q3,services,financial services,total,500
2003-Q3,services,financial services,"professional, managers, executive and technicians",400
2003-Q3,services,financial services,"clerical, sales and services workers",100
2003-Q3,services,financial services,"production and transport operators, cleaners and labourers",-
2003-Q3,services,real estate and leasing services,total,300
2003-Q3,services,real estate and leasing services,"professional, managers, executive and technicians",100
2003-Q3,services,real estate and leasing services,"clerical, sales and services workers",100
2003-Q3,services,real estate and leasing services,"production and transport operators, cleaners and labourers",200
2003-Q3,services,professional services,total,500
2003-Q3,services,professional services,"professional, managers, executive and technicians",300
2003-Q3,services,professional services,"clerical, sales and services workers",100
2003-Q3,services,professional services,"production and transport operators, cleaners and labourers",100
2003-Q3,services,administrative and support services,total,500
2003-Q3,services,administrative and support services,"professional, managers, executive and technicians",100
2003-Q3,services,administrative and support services,"clerical, sales and services workers",300
2003-Q3,services,administrative and support services,"production and transport operators, cleaners and labourers",200
2003-Q3,services,"community, social and personal services",total,1200
2003-Q3,services,"community, social and personal services","professional, managers, executive and technicians",400
2003-Q3,services,"community, social and personal services","clerical, sales and services workers",600
2003-Q3,services,"community, social and personal services","production and transport operators, cleaners and labourers",100
2003-Q3,others,others,total,300
2003-Q3,others,others,"professional, managers, executive and technicians",200
2003-Q3,others,others,"clerical, sales and services workers",-
2003-Q3,others,others,"production and transport operators, cleaners and labourers",200
2003-Q4,total,total,total,13100
2003-Q4,total,total,"professional, managers, executive and technicians",4300
2003-Q4,total,total,"clerical, sales and services workers",4200
2015-Q1,manufacturing,other manufacturing industries,total,800
2003-Q4,total,total,"production and transport operators, cleaners and labourers",4600
2003-Q4,manufacturing,"food, beverages and tobacco",total,300
2003-Q4,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
2003-Q4,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
2003-Q4,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",200
2003-Q4,manufacturing,paper products and printing,total,100
2003-Q4,manufacturing,paper products and printing,"professional, managers, executive and technicians",-
2003-Q4,manufacturing,paper products and printing,"clerical, sales and services workers",-
2003-Q4,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",100
2003-Q4,manufacturing,"petroleum, chemical and pharmaceutical products",total,200
2003-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",100
2003-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2003-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2003-Q4,manufacturing,rubber and plastic products,total,300
2003-Q4,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
2003-Q4,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
2003-Q4,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",200
2003-Q4,manufacturing,fabricated metal products,total,300
2003-Q4,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
2003-Q4,manufacturing,fabricated metal products,"clerical, sales and services workers",-
2003-Q4,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",200
2003-Q4,manufacturing,machinery and equipment,total,500
2003-Q4,manufacturing,machinery and equipment,"professional, managers, executive and technicians",200
2003-Q4,manufacturing,machinery and equipment,"clerical, sales and services workers",100
2003-Q4,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",200
2003-Q4,manufacturing,electrical products,total,-
2003-Q4,manufacturing,electrical products,"professional, managers, executive and technicians",-
2003-Q4,manufacturing,electrical products,"clerical, sales and services workers",-
2003-Q4,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
2003-Q4,manufacturing,electronic products,total,1300
2003-Q4,manufacturing,electronic products,"professional, managers, executive and technicians",600
2003-Q4,manufacturing,electronic products,"clerical, sales and services workers",100
2003-Q4,manufacturing,electronic products,"production and transport operators, cleaners and labourers",600
2003-Q4,manufacturing,medical and precision instruments,total,200
2003-Q4,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",100
2003-Q4,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
2003-Q4,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",100
2003-Q4,manufacturing,transport equipment,total,400
2003-Q4,manufacturing,transport equipment,"professional, managers, executive and technicians",100
2003-Q4,manufacturing,transport equipment,"clerical, sales and services workers",-
2003-Q4,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",300
2003-Q4,manufacturing,other manufacturing industries,total,600
2003-Q4,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
2003-Q4,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
2003-Q4,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",500
2003-Q4,construction,construction,total,400
2003-Q4,construction,construction,"professional, managers, executive and technicians",200
2003-Q4,construction,construction,"clerical, sales and services workers",100
2003-Q4,construction,construction,"production and transport operators, cleaners and labourers",200
2003-Q4,services,wholesale and retail trade,total,800
2003-Q4,services,wholesale and retail trade,"professional, managers, executive and technicians",400
2003-Q4,services,wholesale and retail trade,"clerical, sales and services workers",400
2003-Q4,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",100
2003-Q4,services,transport and storage,total,2600
2003-Q4,services,transport and storage,"professional, managers, executive and technicians",300
2003-Q4,services,transport and storage,"clerical, sales and services workers",1300
2003-Q4,services,transport and storage,"production and transport operators, cleaners and labourers",1000
2003-Q4,services,hotels and restaurants,total,1300
2003-Q4,services,hotels and restaurants,"professional, managers, executive and technicians",200
2003-Q4,services,hotels and restaurants,"clerical, sales and services workers",900
2003-Q4,services,hotels and restaurants,"production and transport operators, cleaners and labourers",200
2003-Q4,services,information and communications,total,500
2003-Q4,services,information and communications,"professional, managers, executive and technicians",500
2015-Q3,manufacturing,"food, beverages and tobacco",total,1000
2003-Q4,services,information and communications,"clerical, sales and services workers",-
2003-Q4,services,information and communications,"production and transport operators, cleaners and labourers",-
2003-Q4,services,financial services,total,500
2003-Q4,services,financial services,"professional, managers, executive and technicians",400
2003-Q4,services,financial services,"clerical, sales and services workers",100
2003-Q4,services,financial services,"production and transport operators, cleaners and labourers",-
2003-Q4,services,real estate and leasing services,total,200
2003-Q4,services,real estate and leasing services,"professional, managers, executive and technicians",100
2003-Q4,services,real estate and leasing services,"clerical, sales and services workers",100
2003-Q4,services,real estate and leasing services,"production and transport operators, cleaners and labourers",100
2003-Q4,services,professional services,total,600
2003-Q4,services,professional services,"professional, managers, executive and technicians",200
2003-Q4,services,professional services,"clerical, sales and services workers",100
2003-Q4,services,professional services,"production and transport operators, cleaners and labourers",200
2003-Q4,services,administrative and support services,total,400
2003-Q4,services,administrative and support services,"professional, managers, executive and technicians",100
2003-Q4,services,administrative and support services,"clerical, sales and services workers",300
2003-Q4,services,administrative and support services,"production and transport operators, cleaners and labourers",-
2003-Q4,services,"community, social and personal services",total,1300
2003-Q4,services,"community, social and personal services","professional, managers, executive and technicians",600
2003-Q4,services,"community, social and personal services","clerical, sales and services workers",500
2003-Q4,services,"community, social and personal services","production and transport operators, cleaners and labourers",200
2003-Q4,others,others,total,300
2003-Q4,others,others,"professional, managers, executive and technicians",200
2003-Q4,others,others,"clerical, sales and services workers",-
2003-Q4,others,others,"production and transport operators, cleaners and labourers",100
2004-Q1,total,total,total,15400
2004-Q1,total,total,"professional, managers, executive and technicians",4800
2004-Q1,total,total,"clerical, sales and services workers",4200
2004-Q1,total,total,"production and transport operators, cleaners and labourers",6300
2004-Q1,manufacturing,"food, beverages and tobacco",total,300
2004-Q1,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
2004-Q1,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
2004-Q1,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",200
2004-Q1,manufacturing,paper products and printing,total,200
2004-Q1,manufacturing,paper products and printing,"professional, managers, executive and technicians",-
2004-Q1,manufacturing,paper products and printing,"clerical, sales and services workers",-
2004-Q1,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",200
2004-Q1,manufacturing,"petroleum, chemical and pharmaceutical products",total,300
2004-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",100
2004-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2004-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2004-Q1,manufacturing,rubber and plastic products,total,500
2004-Q1,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
2004-Q1,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
2004-Q1,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",400
2004-Q1,manufacturing,fabricated metal products,total,400
2004-Q1,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
2004-Q1,manufacturing,fabricated metal products,"clerical, sales and services workers",-
2004-Q1,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",400
2004-Q1,manufacturing,machinery and equipment,total,900
2004-Q1,manufacturing,machinery and equipment,"professional, managers, executive and technicians",300
2004-Q1,manufacturing,machinery and equipment,"clerical, sales and services workers",100
2004-Q1,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",500
2004-Q1,manufacturing,electrical products,total,100
2004-Q1,manufacturing,electrical products,"professional, managers, executive and technicians",-
2004-Q1,manufacturing,electrical products,"clerical, sales and services workers",-
2004-Q1,manufacturing,electrical products,"production and transport operators, cleaners and labourers",100
2004-Q1,manufacturing,electronic products,total,1600
2004-Q1,manufacturing,electronic products,"professional, managers, executive and technicians",700
2004-Q1,manufacturing,electronic products,"clerical, sales and services workers",100
2004-Q1,manufacturing,electronic products,"production and transport operators, cleaners and labourers",800
2004-Q1,manufacturing,medical and precision instruments,total,100
2004-Q1,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",-
2004-Q1,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
2004-Q1,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",100
2004-Q1,manufacturing,transport equipment,total,1400
2004-Q1,manufacturing,transport equipment,"professional, managers, executive and technicians",300
2004-Q1,manufacturing,transport equipment,"clerical, sales and services workers",100
2004-Q1,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1100
2004-Q1,manufacturing,other manufacturing industries,total,300
2004-Q1,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
2004-Q1,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
2004-Q1,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",300
2004-Q1,construction,construction,total,300
2004-Q1,construction,construction,"professional, managers, executive and technicians",200
2004-Q1,construction,construction,"clerical, sales and services workers",-
2004-Q1,construction,construction,"production and transport operators, cleaners and labourers",100
2004-Q1,services,wholesale and retail trade,total,1500
2004-Q1,services,wholesale and retail trade,"professional, managers, executive and technicians",500
2004-Q1,services,wholesale and retail trade,"clerical, sales and services workers",800
2004-Q1,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",200
2004-Q1,services,transport and storage,total,2100
2004-Q1,services,transport and storage,"professional, managers, executive and technicians",200
2004-Q1,services,transport and storage,"clerical, sales and services workers",900
2004-Q1,services,transport and storage,"production and transport operators, cleaners and labourers",900
2004-Q1,services,hotels and restaurants,total,1000
2004-Q1,services,hotels and restaurants,"professional, managers, executive and technicians",100
2004-Q1,services,hotels and restaurants,"clerical, sales and services workers",700
2004-Q1,services,hotels and restaurants,"production and transport operators, cleaners and labourers",200
2004-Q1,services,information and communications,total,600
2004-Q1,services,information and communications,"professional, managers, executive and technicians",600
2004-Q1,services,information and communications,"clerical, sales and services workers",100
2004-Q1,services,information and communications,"production and transport operators, cleaners and labourers",-
2004-Q1,services,financial services,total,600
2004-Q1,services,financial services,"professional, managers, executive and technicians",500
2004-Q1,services,financial services,"clerical, sales and services workers",100
2004-Q1,services,financial services,"production and transport operators, cleaners and labourers",100
2004-Q1,services,real estate and leasing services,total,400
2004-Q1,services,real estate and leasing services,"professional, managers, executive and technicians",100
2004-Q1,services,real estate and leasing services,"clerical, sales and services workers",100
2004-Q1,services,real estate and leasing services,"production and transport operators, cleaners and labourers",200
2004-Q1,services,professional services,total,600
2004-Q1,services,professional services,"professional, managers, executive and technicians",300
2004-Q1,services,professional services,"clerical, sales and services workers",100
2004-Q1,services,professional services,"production and transport operators, cleaners and labourers",100
2004-Q1,services,administrative and support services,total,500
2004-Q1,services,administrative and support services,"professional, managers, executive and technicians",100
2004-Q1,services,administrative and support services,"clerical, sales and services workers",300
2004-Q1,services,administrative and support services,"production and transport operators, cleaners and labourers",100
2004-Q1,services,"community, social and personal services",total,1400
2004-Q1,services,"community, social and personal services","professional, managers, executive and technicians",500
2004-Q1,services,"community, social and personal services","clerical, sales and services workers",700
2004-Q1,services,"community, social and personal services","production and transport operators, cleaners and labourers",200
2004-Q1,others,others,total,300
2004-Q1,others,others,"professional, managers, executive and technicians",200
2004-Q1,others,others,"clerical, sales and services workers",-
2004-Q1,others,others,"production and transport operators, cleaners and labourers",100
2004-Q2,total,total,total,15400
2004-Q2,total,total,"professional, managers, executive and technicians",5400
2004-Q2,total,total,"clerical, sales and services workers",3800
2004-Q2,total,total,"production and transport operators, cleaners and labourers",6200
2004-Q2,manufacturing,"food, beverages and tobacco",total,200
2004-Q2,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
2004-Q2,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
2004-Q2,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",100
2004-Q2,manufacturing,paper products and printing,total,200
2004-Q2,manufacturing,paper products and printing,"professional, managers, executive and technicians",-
2004-Q2,manufacturing,paper products and printing,"clerical, sales and services workers",-
2015-Q4,services,financial and insurance services,total,3700
2004-Q2,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",200
2004-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",total,100
2004-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",100
2004-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2004-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2004-Q2,manufacturing,rubber and plastic products,total,400
2004-Q2,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
2004-Q2,manufacturing,rubber and plastic products,"clerical, sales and services workers",100
2004-Q2,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",300
2004-Q2,manufacturing,fabricated metal products,total,400
2004-Q2,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
2004-Q2,manufacturing,fabricated metal products,"clerical, sales and services workers",-
2004-Q2,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",300
2004-Q2,manufacturing,machinery and equipment,total,500
2004-Q2,manufacturing,machinery and equipment,"professional, managers, executive and technicians",200
2004-Q2,manufacturing,machinery and equipment,"clerical, sales and services workers",100
2004-Q2,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",300
2004-Q2,manufacturing,electrical products,total,100
2004-Q2,manufacturing,electrical products,"professional, managers, executive and technicians",-
2004-Q2,manufacturing,electrical products,"clerical, sales and services workers",-
2004-Q2,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
2004-Q2,manufacturing,electronic products,total,1500
2004-Q2,manufacturing,electronic products,"professional, managers, executive and technicians",800
2004-Q2,manufacturing,electronic products,"clerical, sales and services workers",100
2004-Q2,manufacturing,electronic products,"production and transport operators, cleaners and labourers",600
2004-Q2,manufacturing,medical and precision instruments,total,200
2004-Q2,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",100
2004-Q2,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
2004-Q2,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",100
2004-Q2,manufacturing,transport equipment,total,800
2004-Q2,manufacturing,transport equipment,"professional, managers, executive and technicians",100
2004-Q2,manufacturing,transport equipment,"clerical, sales and services workers",-
2004-Q2,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",700
2004-Q2,manufacturing,other manufacturing industries,total,300
2004-Q2,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
2004-Q2,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
2004-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",300
2004-Q2,construction,construction,total,800
2004-Q2,construction,construction,"professional, managers, executive and technicians",200
2004-Q2,construction,construction,"clerical, sales and services workers",100
2004-Q2,construction,construction,"production and transport operators, cleaners and labourers",500
2004-Q2,services,wholesale and retail trade,total,1200
2004-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",500
2004-Q2,services,wholesale and retail trade,"clerical, sales and services workers",500
2004-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",200
2004-Q2,services,transport and storage,total,2300
2004-Q2,services,transport and storage,"professional, managers, executive and technicians",500
2004-Q2,services,transport and storage,"clerical, sales and services workers",700
2004-Q2,services,transport and storage,"production and transport operators, cleaners and labourers",1100
2004-Q2,services,hotels and restaurants,total,2300
2004-Q2,services,hotels and restaurants,"professional, managers, executive and technicians",200
2004-Q2,services,hotels and restaurants,"clerical, sales and services workers",900
2004-Q2,services,hotels and restaurants,"production and transport operators, cleaners and labourers",1200
2004-Q2,services,information and communications,total,600
2004-Q2,services,information and communications,"professional, managers, executive and technicians",500
2004-Q2,services,information and communications,"clerical, sales and services workers",-
2004-Q2,services,information and communications,"production and transport operators, cleaners and labourers",-
2004-Q2,services,financial services,total,700
2004-Q2,services,financial services,"professional, managers, executive and technicians",500
2004-Q2,services,financial services,"clerical, sales and services workers",100
2004-Q2,services,financial services,"production and transport operators, cleaners and labourers",-
2004-Q2,services,real estate and leasing services,total,300
2004-Q2,services,real estate and leasing services,"professional, managers, executive and technicians",-
2004-Q2,services,real estate and leasing services,"clerical, sales and services workers",100
2004-Q2,services,real estate and leasing services,"production and transport operators, cleaners and labourers",100
2004-Q2,services,professional services,total,600
2004-Q2,services,professional services,"professional, managers, executive and technicians",400
2004-Q2,services,professional services,"clerical, sales and services workers",200
2004-Q2,services,professional services,"production and transport operators, cleaners and labourers",-
2004-Q2,services,administrative and support services,total,600
2004-Q2,services,administrative and support services,"professional, managers, executive and technicians",200
2004-Q2,services,administrative and support services,"clerical, sales and services workers",300
2004-Q2,services,administrative and support services,"production and transport operators, cleaners and labourers",100
2004-Q2,services,"community, social and personal services",total,1200
2004-Q2,services,"community, social and personal services","professional, managers, executive and technicians",600
2004-Q2,services,"community, social and personal services","clerical, sales and services workers",500
2004-Q2,services,"community, social and personal services","production and transport operators, cleaners and labourers",100
2004-Q2,others,others,total,300
2004-Q2,others,others,"professional, managers, executive and technicians",200
2004-Q2,others,others,"clerical, sales and services workers",-
2004-Q2,others,others,"production and transport operators, cleaners and labourers",100
2004-Q3,total,total,total,18900
2004-Q3,total,total,"professional, managers, executive and technicians",6200
2004-Q3,total,total,"clerical, sales and services workers",5200
2004-Q3,total,total,"production and transport operators, cleaners and labourers",7400
2004-Q3,manufacturing,"food, beverages and tobacco",total,200
2004-Q3,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
2004-Q3,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
2004-Q3,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",100
2004-Q3,manufacturing,paper products and printing,total,200
2004-Q3,manufacturing,paper products and printing,"professional, managers, executive and technicians",-
2004-Q3,manufacturing,paper products and printing,"clerical, sales and services workers",-
2004-Q3,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",100
2004-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",total,300
2004-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",100
2004-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2004-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2004-Q3,manufacturing,rubber and plastic products,total,300
2004-Q3,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
2004-Q3,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
2004-Q3,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",200
2004-Q3,manufacturing,fabricated metal products,total,400
2004-Q3,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
2004-Q3,manufacturing,fabricated metal products,"clerical, sales and services workers",-
2004-Q3,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",300
2004-Q3,manufacturing,machinery and equipment,total,700
2004-Q3,manufacturing,machinery and equipment,"professional, managers, executive and technicians",200
2004-Q3,manufacturing,machinery and equipment,"clerical, sales and services workers",-
