quarter,industry1,industry2,industry3,occupation1,resignation_rate
2004-Q4,manufacturing,machinery and equipment,machinery and equipment,total,1.2
2004-Q4,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",1.2
2004-Q4,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",1.6
2004-Q4,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",1.2
2004-Q4,manufacturing,electrical products,electrical products,total,0.7
2004-Q4,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",1.1
2004-Q4,manufacturing,electrical products,electrical products,"clerical, sales and services workers",0.5
2004-Q4,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",0.5
2004-Q4,manufacturing,electronic products,electronic products,total,1.4
2004-Q4,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",0.9
2004-Q4,manufacturing,electronic products,electronic products,"clerical, sales and services workers",1.1
2004-Q4,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",1.8
2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,total,0.9
2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",0.8
2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",0.7
2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",1
2004-Q4,manufacturing,transport equipment,transport equipment,total,0.8
2004-Q4,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",0.5
2004-Q4,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",0.8
2004-Q4,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",0.8
2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,total,1.4
2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.2
2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.3
2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.4
2004-Q4,construction,construction,construction,total,1.7
2004-Q4,construction,construction,construction,"professional, managers, executive and technicians",1.3
2004-Q4,construction,construction,construction,"clerical, sales and services workers",1.5
2004-Q4,construction,construction,construction,"production and transport operators, cleaners and labourers",1.8
2004-Q4,services,wholesale and retail trade,wholesale trade,total,1.9
2004-Q4,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.4
2004-Q4,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",2.4
2004-Q4,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",2.1
2004-Q4,services,wholesale and retail trade,retail trade,total,4.3
2004-Q4,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.5
2004-Q4,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",5.3
2004-Q4,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",1.7
2004-Q4,services,transport and storage,land transport and supporting services,total,1.2
2004-Q4,services,transport and storage,land transport and supporting services,"professional, managers, executive and technicians",1
2004-Q4,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",2
2004-Q4,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",1
2004-Q4,services,transport and storage,water transport and supporting services,total,0.9
2004-Q4,services,transport and storage,water transport and supporting services,"professional, managers, executive and technicians",1
2004-Q4,services,transport and storage,water transport and supporting services,"clerical, sales and services workers",0.7
2004-Q4,services,transport and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",1
2004-Q4,services,transport and storage,air transport and supporting services,total,0.5
2004-Q4,services,transport and storage,air transport and supporting services,"professional, managers, executive and technicians",0.5
2004-Q4,services,transport and storage,air transport and supporting services,"clerical, sales and services workers",0.5
2004-Q4,services,transport and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",0.2
2004-Q4,services,transport and storage,other transport and storage services,total,1.6
2004-Q4,services,transport and storage,other transport and storage services,"professional, managers, executive and technicians",1.2
2004-Q4,services,transport and storage,other transport and storage services,"clerical, sales and services workers",1.6
2004-Q4,services,transport and storage,other transport and storage services,"production and transport operators, cleaners and labourers",1.7
2004-Q4,services,hotels and restaurants,hotels,total,2.3
2004-Q4,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",2
2004-Q4,services,hotels and restaurants,hotels,"clerical, sales and services workers",2.5
2004-Q4,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",2.4
2004-Q4,services,hotels and restaurants,restaurants,total,5.1
2004-Q4,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",2.4
2004-Q4,services,hotels and restaurants,restaurants,"clerical, sales and services workers",5.2
2004-Q4,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",6.1
2004-Q4,services,information and communications,broadcasting and publishing,total,1.5
2004-Q4,services,information and communications,broadcasting and publishing,"professional, managers, executive and technicians",1.4
2004-Q4,services,information and communications,broadcasting and publishing,"clerical, sales and services workers",1.3
2004-Q4,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",2.7
2004-Q4,services,information and communications,telecommunications,total,1.1
2004-Q4,services,information and communications,telecommunications,"professional, managers, executive and technicians",1.1
2004-Q4,services,information and communications,telecommunications,"clerical, sales and services workers",1.3
2004-Q4,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",0.7
2004-Q4,services,information and communications,it and other information services,total,2.7
2004-Q4,services,information and communications,it and other information services,"professional, managers, executive and technicians",2.7
2004-Q4,services,information and communications,it and other information services,"clerical, sales and services workers",3
2004-Q4,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",2.3
2004-Q4,services,financial services,financial institutions,total,1.4
2004-Q4,services,financial services,financial institutions,"professional, managers, executive and technicians",1.4
2004-Q4,services,financial services,financial institutions,"clerical, sales and services workers",1.3
2004-Q4,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",0.8
2004-Q4,services,financial services,insurance,total,1
2004-Q4,services,financial services,insurance,"professional, managers, executive and technicians",1.4
2004-Q4,services,financial services,insurance,"clerical, sales and services workers",0.7
2004-Q4,services,financial services,insurance,"production and transport operators, cleaners and labourers",-
2004-Q4,services,real estate and leasing services,real estate and leasing services,total,3
2004-Q4,services,real estate and leasing services,real estate and leasing services,"professional, managers, executive and technicians",1.9
2004-Q4,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",2.3
2004-Q4,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",3.7
2004-Q4,services,professional services,"legal, accounting and management services",total,2.2
2004-Q4,services,professional services,"legal, accounting and management services","professional, managers, executive and technicians",2
2004-Q4,services,professional services,"legal, accounting and management services","clerical, sales and services workers",2.6
2004-Q4,services,professional services,"legal, accounting and management services","production and transport operators, cleaners and labourers",3.1
2004-Q4,services,professional services,architectural and engineering services,total,1.4
2004-Q4,services,professional services,architectural and engineering services,"professional, managers, executive and technicians",1.4
2004-Q4,services,professional services,architectural and engineering services,"clerical, sales and services workers",1.5
2004-Q4,services,professional services,architectural and engineering services,"production and transport operators, cleaners and labourers",1.6
2004-Q4,services,professional services,other professional services,total,1.9
2004-Q4,services,professional services,other professional services,"professional, managers, executive and technicians",1.8
2004-Q4,services,professional services,other professional services,"clerical, sales and services workers",2.5
2004-Q4,services,professional services,other professional services,"production and transport operators, cleaners and labourers",0.9
2004-Q4,services,administrative and support services,administrative and support services,total,3.5
2004-Q4,services,administrative and support services,administrative and support services,"professional, managers, executive and technicians",2.1
2004-Q4,services,administrative and support services,administrative and support services,"clerical, sales and services workers",3.7
2004-Q4,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",3.7
2004-Q4,services,"community, social and personal services",education,total,1.1
2004-Q4,services,"community, social and personal services",education,"professional, managers, executive and technicians",1.2
2004-Q4,services,"community, social and personal services",education,"clerical, sales and services workers",0.9
2004-Q4,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",0.7
2004-Q4,services,"community, social and personal services","health, social and community services",total,1.2
2004-Q4,services,"community, social and personal services","health, social and community services","professional, managers, executive and technicians",1.1
2004-Q4,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",1.2
2004-Q4,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",1.6
2004-Q4,services,"community, social and personal services","other community, social and personal services",total,2.6
2004-Q4,services,"community, social and personal services","other community, social and personal services","professional, managers, executive and technicians",1.6
2004-Q4,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",3.4
2004-Q4,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",2.6
2004-Q4,others,others,others,total,2.8
2004-Q4,others,others,others,"professional, managers, executive and technicians",0.9
2004-Q4,others,others,others,"clerical, sales and services workers",1.1
2004-Q4,others,others,others,"production and transport operators, cleaners and labourers",4.2
2005-Q1,total,total,total,total,2.1
2005-Q1,total,total,total,"professional, managers, executive and technicians",1.5
2005-Q1,total,total,total,"clerical, sales and services workers",3.1
2005-Q1,total,total,total,"production and transport operators, cleaners and labourers",2.1
2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,2.6
2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.1
2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",3.1
2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.8
2005-Q1,manufacturing,paper products and printing,paper products and printing,total,2.3
2005-Q1,manufacturing,paper products and printing,paper products and printing,"professional, managers, executive and technicians",1.9
2005-Q1,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",2.9
2005-Q1,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",2.2
2005-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,0.9
2005-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.8
2005-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1
2005-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1
2005-Q1,manufacturing,rubber and plastic products,rubber and plastic products,total,2.5
2005-Q1,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",1.7
2005-Q1,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",2.3
2005-Q1,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",2.7
2005-Q1,manufacturing,fabricated metal products,fabricated metal products,total,2.1
2005-Q1,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",1.5
2005-Q1,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",2.1
2005-Q1,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",2.3
2005-Q1,manufacturing,machinery and equipment,machinery and equipment,total,1.6
2005-Q1,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",1.2
2005-Q1,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",1.9
2005-Q1,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",1.6
2005-Q1,manufacturing,electrical products,electrical products,total,1.1
2005-Q1,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",1.1
2005-Q1,manufacturing,electrical products,electrical products,"clerical, sales and services workers",0.6
2005-Q1,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",1.3
2005-Q1,manufacturing,electronic products,electronic products,total,1.8
2005-Q1,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",1.3
2005-Q1,manufacturing,electronic products,electronic products,"clerical, sales and services workers",2
2005-Q1,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",2.2
2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,total,1.6
2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",1.5
2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",0.9
2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",1.8
2005-Q1,manufacturing,transport equipment,transport equipment,total,0.8
2005-Q1,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",0.7
2005-Q1,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",1
2005-Q1,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",0.8
2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,total,2.2
2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.3
2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.7
2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",2.3
2005-Q1,construction,construction,construction,total,1.7
2005-Q1,construction,construction,construction,"professional, managers, executive and technicians",1.6
2005-Q1,construction,construction,construction,"clerical, sales and services workers",2.5
2005-Q1,construction,construction,construction,"production and transport operators, cleaners and labourers",1.7
2005-Q1,services,wholesale and retail trade,wholesale trade,total,2.2
2005-Q1,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.5
2005-Q1,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",3
2005-Q1,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",2.6
2005-Q1,services,wholesale and retail trade,retail trade,total,4.5
2005-Q1,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.7
2005-Q1,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",5.5
2005-Q1,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",1.8
2005-Q1,services,transport and storage,land transport and supporting services,total,1.3
2005-Q1,services,transport and storage,land transport and supporting services,"professional, managers, executive and technicians",1.3
2005-Q1,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",1.8
2005-Q1,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",1.1
2005-Q1,services,transport and storage,water transport and supporting services,total,0.9
2005-Q1,services,transport and storage,water transport and supporting services,"professional, managers, executive and technicians",1
2005-Q1,services,transport and storage,water transport and supporting services,"clerical, sales and services workers",0.7
2005-Q1,services,transport and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",0.9
2005-Q1,services,transport and storage,air transport and supporting services,total,0.6
2005-Q1,services,transport and storage,air transport and supporting services,"professional, managers, executive and technicians",0.5
2005-Q1,services,transport and storage,air transport and supporting services,"clerical, sales and services workers",0.7
2005-Q1,services,transport and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",0.5
2005-Q1,services,transport and storage,other transport and storage services,total,1.9
2005-Q1,services,transport and storage,other transport and storage services,"professional, managers, executive and technicians",1.4
2005-Q1,services,transport and storage,other transport and storage services,"clerical, sales and services workers",2
2005-Q1,services,transport and storage,other transport and storage services,"production and transport operators, cleaners and labourers",2.1
2005-Q1,services,hotels and restaurants,hotels,total,3.4
2005-Q1,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",2.7
2005-Q1,services,hotels and restaurants,hotels,"clerical, sales and services workers",3.9
2005-Q1,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",2.8
2005-Q1,services,hotels and restaurants,restaurants,total,5.4
2005-Q1,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",2.3
2005-Q1,services,hotels and restaurants,restaurants,"clerical, sales and services workers",5.5
2005-Q1,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",6.5
2005-Q1,services,information and communications,broadcasting and publishing,total,2.2
2005-Q1,services,information and communications,broadcasting and publishing,"professional, managers, executive and technicians",1.9
2005-Q1,services,information and communications,broadcasting and publishing,"clerical, sales and services workers",2.3
2005-Q1,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",3.8
2005-Q1,services,information and communications,telecommunications,total,1.3
2005-Q1,services,information and communications,telecommunications,"professional, managers, executive and technicians",0.9
2005-Q1,services,information and communications,telecommunications,"clerical, sales and services workers",2.1
2005-Q1,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",1.4
2005-Q1,services,information and communications,it and other information services,total,2.6
2005-Q1,services,information and communications,it and other information services,"professional, managers, executive and technicians",2.6
2005-Q1,services,information and communications,it and other information services,"clerical, sales and services workers",2.2
2005-Q1,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",2.9
2005-Q1,services,financial services,financial institutions,total,1.5
2005-Q1,services,financial services,financial institutions,"professional, managers, executive and technicians",1.4
2005-Q1,services,financial services,financial institutions,"clerical, sales and services workers",1.6
2005-Q1,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",2.2
2005-Q1,services,financial services,insurance,total,1.4
2005-Q1,services,financial services,insurance,"professional, managers, executive and technicians",1.5
2005-Q1,services,financial services,insurance,"clerical, sales and services workers",1.1
2005-Q1,services,financial services,insurance,"production and transport operators, cleaners and labourers",-
2005-Q1,services,real estate and leasing services,real estate and leasing services,total,3.5
2005-Q1,services,real estate and leasing services,real estate and leasing services,"professional, managers, executive and technicians",2.1
2005-Q1,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",3
2005-Q1,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",4.3
2005-Q1,services,professional services,"legal, accounting and management services",total,2.3
2005-Q1,services,professional services,"legal, accounting and management services","professional, managers, executive and technicians",1.7
2005-Q1,services,professional services,"legal, accounting and management services","clerical, sales and services workers",3.1
2005-Q1,services,professional services,"legal, accounting and management services","production and transport operators, cleaners and labourers",4.6
2005-Q1,services,professional services,architectural and engineering services,total,1.5
2005-Q1,services,professional services,architectural and engineering services,"professional, managers, executive and technicians",1.2
2005-Q1,services,professional services,architectural and engineering services,"clerical, sales and services workers",1
2005-Q1,services,professional services,architectural and engineering services,"production and transport operators, cleaners and labourers",2.5
2005-Q1,services,professional services,other professional services,total,1.9
2005-Q1,services,professional services,other professional services,"professional, managers, executive and technicians",1.6
2005-Q1,services,professional services,other professional services,"clerical, sales and services workers",3
2005-Q1,services,professional services,other professional services,"production and transport operators, cleaners and labourers",1.2
2005-Q1,services,administrative and support services,administrative and support services,total,3.9
2005-Q1,services,administrative and support services,administrative and support services,"professional, managers, executive and technicians",1.9
2005-Q1,services,administrative and support services,administrative and support services,"clerical, sales and services workers",4.7
2005-Q1,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",3.7
2005-Q1,services,"community, social and personal services",education,total,1.6
2005-Q1,services,"community, social and personal services",education,"professional, managers, executive and technicians",1.6
2005-Q1,services,"community, social and personal services",education,"clerical, sales and services workers",1.5
2005-Q1,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",2
2005-Q1,services,"community, social and personal services","health, social and community services",total,1.8
2005-Q1,services,"community, social and personal services","health, social and community services","professional, managers, executive and technicians",1.7
2005-Q1,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",1.8
2005-Q1,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",2.4
2005-Q1,services,"community, social and personal services","other community, social and personal services",total,2.5
2005-Q1,services,"community, social and personal services","other community, social and personal services","professional, managers, executive and technicians",1.9
2005-Q1,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",3
2005-Q1,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",2.5
2005-Q1,others,others,others,total,2.8
2005-Q1,others,others,others,"professional, managers, executive and technicians",0.7
2005-Q1,others,others,others,"clerical, sales and services workers",2
2005-Q1,others,others,others,"production and transport operators, cleaners and labourers",4
2005-Q2,total,total,total,total,2.2
2005-Q2,total,total,total,"professional, managers, executive and technicians",1.8
2005-Q2,total,total,total,"clerical, sales and services workers",3.1
2005-Q2,total,total,total,"production and transport operators, cleaners and labourers",2.1
2005-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,2.6
2005-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.4
2005-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",3.2
2005-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.7
2005-Q2,manufacturing,paper products and printing,paper products and printing,total,2.2
2005-Q2,manufacturing,paper products and printing,paper products and printing,"professional, managers, executive and technicians",2
2005-Q2,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",2.5
2005-Q2,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",2.3
2005-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,1.1
2005-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",1.1
2005-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1.2
2005-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1
2005-Q2,manufacturing,rubber and plastic products,rubber and plastic products,total,2.5
2005-Q2,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",2.4
2005-Q2,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",4.1
2005-Q2,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",2.3
2005-Q2,manufacturing,fabricated metal products,fabricated metal products,total,2.1
2005-Q2,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",1.7
2005-Q2,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",3.6
2005-Q2,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",2.1
2005-Q2,manufacturing,machinery and equipment,machinery and equipment,total,1.6
2005-Q2,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",1.6
2005-Q2,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",2.4
2005-Q2,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",1.5
2005-Q2,manufacturing,electrical products,electrical products,total,1.5
2005-Q2,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",1.7
2005-Q2,manufacturing,electrical products,electrical products,"clerical, sales and services workers",1.3
2005-Q2,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",1.4
2005-Q2,manufacturing,electronic products,electronic products,total,1.9
2005-Q2,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",1.5
2005-Q2,manufacturing,electronic products,electronic products,"clerical, sales and services workers",2.2
2005-Q2,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",2.1
2005-Q2,manufacturing,medical and precision instruments,medical and precision instruments,total,1.7
2005-Q2,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",1.4
2005-Q2,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",1.8
2005-Q2,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",1.8
2005-Q2,manufacturing,transport equipment,transport equipment,total,1.2
2005-Q2,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",1
2005-Q2,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",1.6
2005-Q2,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",1.2
2005-Q2,manufacturing,other manufacturing industries,other manufacturing industries,total,2.3
2005-Q2,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.5
2005-Q2,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.7
2005-Q2,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",2.4
2005-Q2,construction,construction,construction,total,2
2005-Q2,construction,construction,construction,"professional, managers, executive and technicians",1.9
2005-Q2,construction,construction,construction,"clerical, sales and services workers",2
2005-Q2,construction,construction,construction,"production and transport operators, cleaners and labourers",2
2005-Q2,services,wholesale and retail trade,wholesale trade,total,2.3
2005-Q2,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.6
2005-Q2,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",3.3
2005-Q2,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",2.1
2005-Q2,services,wholesale and retail trade,retail trade,total,4.2
2005-Q2,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",2
2005-Q2,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",5
2005-Q2,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",2.1
2005-Q2,services,transport and storage,land transport and supporting services,total,1.1
2005-Q2,services,transport and storage,land transport and supporting services,"professional, managers, executive and technicians",1.5
2005-Q2,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",1.9
2005-Q2,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",0.9
2005-Q2,services,transport and storage,water transport and supporting services,total,1.2
2005-Q2,services,transport and storage,water transport and supporting services,"professional, managers, executive and technicians",1.7
2005-Q2,services,transport and storage,water transport and supporting services,"clerical, sales and services workers",1.2
2005-Q2,services,transport and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",0.8
2005-Q2,services,transport and storage,air transport and supporting services,total,0.5
2005-Q2,services,transport and storage,air transport and supporting services,"professional, managers, executive and technicians",0.3
2005-Q2,services,transport and storage,air transport and supporting services,"clerical, sales and services workers",0.5
2005-Q2,services,transport and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",0.3
2005-Q2,services,transport and storage,other transport and storage services,total,2.3
2005-Q2,services,transport and storage,other transport and storage services,"professional, managers, executive and technicians",1.6
2005-Q2,services,transport and storage,other transport and storage services,"clerical, sales and services workers",2.4
2005-Q2,services,transport and storage,other transport and storage services,"production and transport operators, cleaners and labourers",2.6
2005-Q2,services,hotels and restaurants,hotels,total,3.1
2005-Q2,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",3.4
2005-Q2,services,hotels and restaurants,hotels,"clerical, sales and services workers",3.2
2005-Q2,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",2.5
2005-Q2,services,hotels and restaurants,restaurants,total,5.4
2005-Q2,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",2.2
2005-Q2,services,hotels and restaurants,restaurants,"clerical, sales and services workers",5.7
2005-Q2,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",6
2005-Q2,services,information and communications,broadcasting and publishing,total,2.1
2005-Q2,services,information and communications,broadcasting and publishing,"professional, managers, executive and technicians",1.9
2005-Q2,services,information and communications,broadcasting and publishing,"clerical, sales and services workers",1.7
2005-Q2,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",4.4
2005-Q2,services,information and communications,telecommunications,total,1.7
2005-Q2,services,information and communications,telecommunications,"professional, managers, executive and technicians",1.4
2005-Q2,services,information and communications,telecommunications,"clerical, sales and services workers",2.3
2005-Q2,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",2.2
2005-Q2,services,information and communications,it and other information services,total,2.6
2005-Q2,services,information and communications,it and other information services,"professional, managers, executive and technicians",2.5
2005-Q2,services,information and communications,it and other information services,"clerical, sales and services workers",3.1
2005-Q2,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",2.9
2005-Q2,services,financial services,financial institutions,total,1.8
2005-Q2,services,financial services,financial institutions,"professional, managers, executive and technicians",1.8
2005-Q2,services,financial services,financial institutions,"clerical, sales and services workers",2
2005-Q2,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",2.2
