year,industry1,industry2,occupation1,resignation_rate
2003,services,"community, social and personal services","production and transport operators, cleaners and labourers",2.1
2003,others,others,total,2.8
2003,others,others,"professional, managers, executive and technicians",0.7
2003,others,others,"clerical, sales and services workers",0.9
2003,others,others,"production and transport operators, cleaners and labourers",4.4
2004,total,total,total,2.2
2004,total,total,"professional, managers, executive and technicians",1.6
2004,total,total,"clerical, sales and services workers",3.1
2004,total,total,"production and transport operators, cleaners and labourers",2.1
2004,manufacturing,"food, beverages and tobacco",total,2.9
2004,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.3
2004,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3.7
2004,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",3
2004,manufacturing,paper products and printing,total,1.9
2004,manufacturing,paper products and printing,"professional, managers, executive and technicians",1.9
2004,manufacturing,paper products and printing,"clerical, sales and services workers",2.4
2004,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",1.7
2004,manufacturing,"petroleum, chemical and pharmaceutical products",total,0.9
2004,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.8
2004,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",0.9
2004,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",0.9
2004,manufacturing,rubber and plastic products,total,2.7
2004,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",2.7
2004,manufacturing,rubber and plastic products,"clerical, sales and services workers",2.4
2004,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",2.7
2004,manufacturing,fabricated metal products,total,2
2004,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.4
2004,manufacturing,fabricated metal products,"clerical, sales and services workers",2.1
2004,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2.1
2004,manufacturing,machinery and equipment,total,1.8
2004,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.6
2004,manufacturing,machinery and equipment,"clerical, sales and services workers",2.3
2004,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",1.9
2004,manufacturing,electrical products,total,1.3
2004,manufacturing,electrical products,"professional, managers, executive and technicians",1.4
2004,manufacturing,electrical products,"clerical, sales and services workers",1.4
2004,manufacturing,electrical products,"production and transport operators, cleaners and labourers",1.2
2004,manufacturing,electronic products,total,1.7
2004,manufacturing,electronic products,"professional, managers, executive and technicians",1.2
2004,manufacturing,electronic products,"clerical, sales and services workers",1.4
2004,manufacturing,electronic products,"production and transport operators, cleaners and labourers",2
2004,manufacturing,medical and precision instruments,total,1.7
2004,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",1.3
2004,manufacturing,medical and precision instruments,"clerical, sales and services workers",1.3
2004,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",1.9
2004,manufacturing,transport equipment,total,1.1
2004,manufacturing,transport equipment,"professional, managers, executive and technicians",1
2004,manufacturing,transport equipment,"clerical, sales and services workers",1.6
2004,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.1
2004,manufacturing,other manufacturing industries,total,1.9
2004,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.1
2004,manufacturing,other manufacturing industries,"clerical, sales and services workers",2.5
2004,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",2
2004,construction,construction,total,1.8
2004,construction,construction,"professional, managers, executive and technicians",1.9
2004,construction,construction,"clerical, sales and services workers",2.2
2004,construction,construction,"production and transport operators, cleaners and labourers",1.8
2004,services,wholesale and retail trade,total,2.7
2004,services,wholesale and retail trade,"professional, managers, executive and technicians",1.4
2004,services,wholesale and retail trade,"clerical, sales and services workers",4.1
2004,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.8
2004,services,transport and storage,total,1.3
2004,services,transport and storage,"professional, managers, executive and technicians",1.2
2004,services,transport and storage,"clerical, sales and services workers",1.3
2004,services,transport and storage,"production and transport operators, cleaners and labourers",1.3
2004,services,hotels and restaurants,total,4.7
2004,services,hotels and restaurants,"professional, managers, executive and technicians",2.4
2004,services,hotels and restaurants,"clerical, sales and services workers",5
2004,services,hotels and restaurants,"production and transport operators, cleaners and labourers",5.1
2004,services,information and communications,total,2
2004,services,information and communications,"professional, managers, executive and technicians",2
2004,services,information and communications,"clerical, sales and services workers",1.9
2004,services,information and communications,"production and transport operators, cleaners and labourers",3.4
2004,services,financial services,total,1.5
2004,services,financial services,"professional, managers, executive and technicians",1.6
2004,services,financial services,"clerical, sales and services workers",1.5
2004,services,financial services,"production and transport operators, cleaners and labourers",0.9
2004,services,real estate and leasing services,total,3.6
2004,services,real estate and leasing services,"professional, managers, executive and technicians",2.2
2004,services,real estate and leasing services,"clerical, sales and services workers",2.5
2004,services,real estate and leasing services,"production and transport operators, cleaners and labourers",4.4
2004,services,professional services,total,2.2
2004,services,professional services,"professional, managers, executive and technicians",2
2004,services,professional services,"clerical, sales and services workers",2.6
2004,services,professional services,"production and transport operators, cleaners and labourers",2.7
2004,services,administrative and support services,total,4
2004,services,administrative and support services,"professional, managers, executive and technicians",2.3
2004,services,administrative and support services,"clerical, sales and services workers",4.6
2004,services,administrative and support services,"production and transport operators, cleaners and labourers",3.9
2004,services,"community, social and personal services",total,2
2004,services,"community, social and personal services","professional, managers, executive and technicians",1.6
2004,services,"community, social and personal services","clerical, sales and services workers",2.5
2004,services,"community, social and personal services","production and transport operators, cleaners and labourers",2.3
2004,others,others,total,2.9
2004,others,others,"professional, managers, executive and technicians",0.8
2004,others,others,"clerical, sales and services workers",1.4
2004,others,others,"production and transport operators, cleaners and labourers",4.3
2005,total,total,total,2.1
2005,total,total,"professional, managers, executive and technicians",1.6
2005,total,total,"clerical, sales and services workers",2.9
2005,total,total,"production and transport operators, cleaners and labourers",2
2005,manufacturing,"food, beverages and tobacco",total,2.4
2005,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.3
2005,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3
2005,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.4
2005,manufacturing,paper products and printing,total,1.8
2005,manufacturing,paper products and printing,"professional, managers, executive and technicians",1.6
2005,manufacturing,paper products and printing,"clerical, sales and services workers",2.3
2005,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",1.8
2005,manufacturing,"petroleum, chemical and pharmaceutical products",total,0.9
2005,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.9
2005,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1
2005,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",0.9
2005,manufacturing,rubber and plastic products,total,2.2
2005,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",1.9
2005,manufacturing,rubber and plastic products,"clerical, sales and services workers",3
2005,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",2.2
2005,manufacturing,fabricated metal products,total,2
2005,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.7
2005,manufacturing,fabricated metal products,"clerical, sales and services workers",2.7
2005,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2
2005,manufacturing,machinery and equipment,total,1.5
2005,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.4
2005,manufacturing,machinery and equipment,"clerical, sales and services workers",2.2
2005,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",1.4
2005,manufacturing,electrical products,total,1.2
2005,manufacturing,electrical products,"professional, managers, executive and technicians",1.1
2005,manufacturing,electrical products,"clerical, sales and services workers",1.2
2005,manufacturing,electrical products,"production and transport operators, cleaners and labourers",1.2
2005,manufacturing,electronic products,total,1.6
2005,manufacturing,electronic products,"professional, managers, executive and technicians",1.3
2005,manufacturing,electronic products,"clerical, sales and services workers",2
2005,manufacturing,electronic products,"production and transport operators, cleaners and labourers",1.8
2005,manufacturing,medical and precision instruments,total,1.5
2005,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",1.4
2005,manufacturing,medical and precision instruments,"clerical, sales and services workers",1.1
2005,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",1.6
2005,manufacturing,transport equipment,total,1
2005,manufacturing,transport equipment,"professional, managers, executive and technicians",0.9
2005,manufacturing,transport equipment,"clerical, sales and services workers",1.3
2005,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1
2005,manufacturing,other manufacturing industries,total,1.9
2005,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.4
2005,manufacturing,other manufacturing industries,"clerical, sales and services workers",2.4
2005,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.9
2005,construction,construction,total,1.8
2005,construction,construction,"professional, managers, executive and technicians",1.8
2005,construction,construction,"clerical, sales and services workers",2
2005,construction,construction,"production and transport operators, cleaners and labourers",1.8
2005,services,wholesale and retail trade,total,2.7
2005,services,wholesale and retail trade,"professional, managers, executive and technicians",1.5
2005,services,wholesale and retail trade,"clerical, sales and services workers",3.9
2005,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.9
2005,services,transport and storage,total,1.3
2005,services,transport and storage,"professional, managers, executive and technicians",1.2
2005,services,transport and storage,"clerical, sales and services workers",1.2
2005,services,transport and storage,"production and transport operators, cleaners and labourers",1.3
2005,services,hotels and restaurants,total,4.4
2005,services,hotels and restaurants,"professional, managers, executive and technicians",2.5
2005,services,hotels and restaurants,"clerical, sales and services workers",4.7
2005,services,hotels and restaurants,"production and transport operators, cleaners and labourers",5
2005,services,information and communications,total,2
2005,services,information and communications,"professional, managers, executive and technicians",1.9
2005,services,information and communications,"clerical, sales and services workers",2.3
2005,services,information and communications,"production and transport operators, cleaners and labourers",4.1
2005,services,financial services,total,1.7
2005,services,financial services,"professional, managers, executive and technicians",1.6
2005,services,financial services,"clerical, sales and services workers",1.8
2005,services,financial services,"production and transport operators, cleaners and labourers",2.8
2005,services,real estate and leasing services,total,3.3
2005,services,real estate and leasing services,"professional, managers, executive and technicians",2.1
2005,services,real estate and leasing services,"clerical, sales and services workers",2.9
2005,services,real estate and leasing services,"production and transport operators, cleaners and labourers",3.9
2005,services,professional services,total,2.2
2005,services,professional services,"professional, managers, executive and technicians",1.9
2005,services,professional services,"clerical, sales and services workers",2.8
2005,services,professional services,"production and transport operators, cleaners and labourers",2.5
2005,services,administrative and support services,total,3.5
2005,services,administrative and support services,"professional, managers, executive and technicians",2.2
2005,services,administrative and support services,"clerical, sales and services workers",3.9
2005,services,administrative and support services,"production and transport operators, cleaners and labourers",3.4
2005,services,"community, social and personal services",total,1.8
2005,services,"community, social and personal services","professional, managers, executive and technicians",1.5
2005,services,"community, social and personal services","clerical, sales and services workers",2.3
2005,services,"community, social and personal services","production and transport operators, cleaners and labourers",2.1
2005,others,others,total,2.7
2005,others,others,"professional, managers, executive and technicians",0.7
2005,others,others,"clerical, sales and services workers",1.8
2005,others,others,"production and transport operators, cleaners and labourers",4
2006,total,total,total,2
2006,total,total,"professional, managers, executive and technicians",1.5
2006,total,total,"clerical, sales and services workers",2.9
2006,total,total,"production and transport operators, cleaners and labourers",1.9
2006,manufacturing,"food, beverages and tobacco",total,2.5
2006,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.5
2006,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3.1
2006,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.5
2006,manufacturing,"paper,rubber,plastic products and printing",total,2
2006,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",2.1
2006,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",2.4
2006,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.8
2006,manufacturing,"petroleum, chemical and pharmaceutical products",total,1
2006,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.9
2006,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1.3
2006,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1
2006,manufacturing,"fabricated metal products, machinery and equipment",total,1.7
2006,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1.8
2006,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",2.2
2006,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.7
2006,manufacturing,"electronic, computer and optical products",total,1.4
2006,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1.4
2006,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",2.3
2006,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1.4
2006,manufacturing,transport equipment,total,1
2006,manufacturing,transport equipment,"professional, managers, executive and technicians",1.1
2006,manufacturing,transport equipment,"clerical, sales and services workers",1.4
2006,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1
2006,manufacturing,other manufacturing industries,total,1.9
2006,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.6
2006,manufacturing,other manufacturing industries,"clerical, sales and services workers",2.8
2006,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.8
2006,construction,construction,total,1.7
2006,construction,construction,"professional, managers, executive and technicians",2.2
2006,construction,construction,"clerical, sales and services workers",2.1
2006,construction,construction,"production and transport operators, cleaners and labourers",1.6
2006,services,wholesale and retail trade,total,2.6
2006,services,wholesale and retail trade,"professional, managers, executive and technicians",1.5
2006,services,wholesale and retail trade,"clerical, sales and services workers",3.9
2006,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.7
2006,services,transportation and storage,total,1.4
2006,services,transportation and storage,"professional, managers, executive and technicians",1.2
2006,services,transportation and storage,"clerical, sales and services workers",1.4
2006,services,transportation and storage,"production and transport operators, cleaners and labourers",1.6
2006,services,accommodation and food services,total,4.4
2006,services,accommodation and food services,"professional, managers, executive and technicians",2.5
2006,services,accommodation and food services,"clerical, sales and services workers",4.8
2006,services,accommodation and food services,"production and transport operators, cleaners and labourers",4.6
2006,services,information and communications,total,2
2006,services,information and communications,"professional, managers, executive and technicians",1.9
2006,services,information and communications,"clerical, sales and services workers",2.5
2006,services,information and communications,"production and transport operators, cleaners and labourers",3.2
2006,services,financial and insurance services,total,1.8
2006,services,financial and insurance services,"professional, managers, executive and technicians",1.7
2006,services,financial and insurance services,"clerical, sales and services workers",1.9
2006,services,financial and insurance services,"production and transport operators, cleaners and labourers",2.6
2006,services,real estate services,total,3.3
2006,services,real estate services,"professional, managers, executive and technicians",1.7
2006,services,real estate services,"clerical, sales and services workers",2.4
2006,services,real estate services,"production and transport operators, cleaners and labourers",4.4
2006,services,professional services,total,2.3
2006,services,professional services,"professional, managers, executive and technicians",2.1
2006,services,professional services,"clerical, sales and services workers",2.7
2006,services,professional services,"production and transport operators, cleaners and labourers",2.6
2006,services,administrative and support services,total,3.4
2006,services,administrative and support services,"professional, managers, executive and technicians",2.2
2006,services,administrative and support services,"clerical, sales and services workers",3.4
2006,services,administrative and support services,"production and transport operators, cleaners and labourers",3.7
2006,services,"community, social and personal services",total,1.2
2006,services,"community, social and personal services","professional, managers, executive and technicians",1
2006,services,"community, social and personal services","clerical, sales and services workers",1.7
2006,services,"community, social and personal services","production and transport operators, cleaners and labourers",1.4
2006,others,others,total,1.1
2006,others,others,"professional, managers, executive and technicians",0.5
2006,others,others,"clerical, sales and services workers",1.5
2006,others,others,"production and transport operators, cleaners and labourers",1.9
2007,total,total,total,2
2007,total,total,"professional, managers, executive and technicians",1.6
2007,total,total,"clerical, sales and services workers",3
2007,total,total,"production and transport operators, cleaners and labourers",1.9
2007,manufacturing,"food, beverages and tobacco",total,2.4
2007,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.6
2007,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3.1
2007,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.3
2007,manufacturing,"paper,rubber,plastic products and printing",total,2.1
2007,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",2.1
2007,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",2.6
2007,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",2
2007,manufacturing,"petroleum, chemical and pharmaceutical products",total,1.1
2007,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",1
2007,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1.3
2007,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.1
2007,manufacturing,"fabricated metal products, machinery and equipment",total,1.7
2007,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1.8
2007,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",2.1
2007,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.6
2007,manufacturing,"electronic, computer and optical products",total,1.5
2007,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1.4
2007,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",1.7
2007,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1.5
2007,manufacturing,transport equipment,total,1.1
2007,manufacturing,transport equipment,"professional, managers, executive and technicians",1
2007,manufacturing,transport equipment,"clerical, sales and services workers",1.3
2007,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.1
2007,manufacturing,other manufacturing industries,total,1.7
2007,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.6
2007,manufacturing,other manufacturing industries,"clerical, sales and services workers",2.2
2007,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.6
2007,construction,construction,total,1.7
2007,construction,construction,"professional, managers, executive and technicians",2.1
2007,construction,construction,"clerical, sales and services workers",2.3
2007,construction,construction,"production and transport operators, cleaners and labourers",1.5
2007,services,wholesale and retail trade,total,2.7
2007,services,wholesale and retail trade,"professional, managers, executive and technicians",1.7
2007,services,wholesale and retail trade,"clerical, sales and services workers",4
2007,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",2
2007,services,transportation and storage,total,1.4
2007,services,transportation and storage,"professional, managers, executive and technicians",1.3
2007,services,transportation and storage,"clerical, sales and services workers",1.5
2007,services,transportation and storage,"production and transport operators, cleaners and labourers",1.5
2007,services,accommodation and food services,total,4.4
2007,services,accommodation and food services,"professional, managers, executive and technicians",2.6
2007,services,accommodation and food services,"clerical, sales and services workers",4.9
2007,services,accommodation and food services,"production and transport operators, cleaners and labourers",4.1
2007,services,information and communications,total,2.3
2007,services,information and communications,"professional, managers, executive and technicians",2.2
2007,services,information and communications,"clerical, sales and services workers",2.8
2007,services,information and communications,"production and transport operators, cleaners and labourers",2.9
2007,services,financial and insurance services,total,1.9
2007,services,financial and insurance services,"professional, managers, executive and technicians",1.7
2007,services,financial and insurance services,"clerical, sales and services workers",2.3
2007,services,financial and insurance services,"production and transport operators, cleaners and labourers",2.3
2007,services,real estate services,total,3.2
2007,services,real estate services,"professional, managers, executive and technicians",1.8
2007,services,real estate services,"clerical, sales and services workers",2.7
2007,services,real estate services,"production and transport operators, cleaners and labourers",4.1
2007,services,professional services,total,2.2
2007,services,professional services,"professional, managers, executive and technicians",2.2
2007,services,professional services,"clerical, sales and services workers",2.6
2007,services,professional services,"production and transport operators, cleaners and labourers",1.9
2007,services,administrative and support services,total,3.8
2007,services,administrative and support services,"professional, managers, executive and technicians",2.9
2007,services,administrative and support services,"clerical, sales and services workers",3.8
2007,services,administrative and support services,"production and transport operators, cleaners and labourers",4.1
2007,services,"community, social and personal services",total,1.2
2007,services,"community, social and personal services","professional, managers, executive and technicians",1
2007,services,"community, social and personal services","clerical, sales and services workers",1.7
2007,services,"community, social and personal services","production and transport operators, cleaners and labourers",1.4
2007,others,others,total,1.5
2007,others,others,"professional, managers, executive and technicians",0.5
2007,others,others,"clerical, sales and services workers",1.2
2007,others,others,"production and transport operators, cleaners and labourers",2.6
2008,total,total,total,2
2008,total,total,"professional, managers, executive and technicians",1.5
2008,total,total,"clerical, sales and services workers",2.9
2008,total,total,"production and transport operators, cleaners and labourers",1.9
2008,manufacturing,"food, beverages and tobacco",total,2.5
2008,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.8
2008,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3.7
2008,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2
2008,manufacturing,"paper,rubber,plastic products and printing",total,1.8
2008,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",1.7
2008,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",2.2
2008,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.7
2008,manufacturing,"petroleum, chemical and pharmaceutical products",total,1
2008,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.8
2008,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1.4
2008,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1
2008,manufacturing,"fabricated metal products, machinery and equipment",total,1.7
2008,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1.7
2008,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",2
2008,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.7
2008,manufacturing,"electronic, computer and optical products",total,1.5
2008,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1.4
2008,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",1.8
2008,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1.7
2008,manufacturing,transport equipment,total,1.4
2008,manufacturing,transport equipment,"professional, managers, executive and technicians",1.2
2008,manufacturing,transport equipment,"clerical, sales and services workers",2.1
2008,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.4
2008,manufacturing,other manufacturing industries,total,1.7
2008,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.7
2008,manufacturing,other manufacturing industries,"clerical, sales and services workers",2.3
2008,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.7
2008,construction,construction,total,1.7
2008,construction,construction,"professional, managers, executive and technicians",2
2008,construction,construction,"clerical, sales and services workers",2.4
2008,construction,construction,"production and transport operators, cleaners and labourers",1.6
2008,services,wholesale and retail trade,total,2.6
2008,services,wholesale and retail trade,"professional, managers, executive and technicians",1.6
2008,services,wholesale and retail trade,"clerical, sales and services workers",3.8
2008,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.8
2008,services,transportation and storage,total,1.6
2008,services,transportation and storage,"professional, managers, executive and technicians",1.3
2008,services,transportation and storage,"clerical, sales and services workers",1.6
2008,services,transportation and storage,"production and transport operators, cleaners and labourers",1.7
2008,services,accommodation and food services,total,3.9
2008,services,accommodation and food services,"professional, managers, executive and technicians",2.6
2008,services,accommodation and food services,"clerical, sales and services workers",4.5
2008,services,accommodation and food services,"production and transport operators, cleaners and labourers",3.1
2008,services,information and communications,total,2.1
2008,services,information and communications,"professional, managers, executive and technicians",2.1
2008,services,information and communications,"clerical, sales and services workers",2.4
2008,services,information and communications,"production and transport operators, cleaners and labourers",1.8
2008,services,financial and insurance services,total,1.5
2008,services,financial and insurance services,"professional, managers, executive and technicians",1.4
2008,services,financial and insurance services,"clerical, sales and services workers",1.6
2008,services,financial and insurance services,"production and transport operators, cleaners and labourers",1.3
2008,services,real estate services,total,3
2008,services,real estate services,"professional, managers, executive and technicians",1.7
2008,services,real estate services,"clerical, sales and services workers",2.4
2008,services,real estate services,"production and transport operators, cleaners and labourers",3.9
2008,services,professional services,total,2.1
2008,services,professional services,"professional, managers, executive and technicians",2
2008,services,professional services,"clerical, sales and services workers",2.6
2008,services,professional services,"production and transport operators, cleaners and labourers",2
2008,services,administrative and support services,total,3.7
2008,services,administrative and support services,"professional, managers, executive and technicians",2.5
2008,services,administrative and support services,"clerical, sales and services workers",3.8
2008,services,administrative and support services,"production and transport operators, cleaners and labourers",4
2008,services,"community, social and personal services",total,1.2
2008,services,"community, social and personal services","professional, managers, executive and technicians",0.9
2008,services,"community, social and personal services","clerical, sales and services workers",1.8
2008,services,"community, social and personal services","production and transport operators, cleaners and labourers",1.6
2008,others,others,total,2.1
2008,others,others,"professional, managers, executive and technicians",0.7
2008,others,others,"clerical, sales and services workers",1.8
2008,others,others,"production and transport operators, cleaners and labourers",3.6
2009,total,total,total,1.8
2009,total,total,"professional, managers, executive and technicians",1.1
2009,total,total,"clerical, sales and services workers",2.7
2009,total,total,"production and transport operators, cleaners and labourers",1.9
2009,manufacturing,"food, beverages and tobacco",total,2.7
2009,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.3
2009,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",4.2
2009,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.2
2009,manufacturing,"paper,rubber,plastic products and printing",total,1.5
2009,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",1.1
2009,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",1.7
2009,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.7
2009,manufacturing,"petroleum, chemical and pharmaceutical products",total,0.7
2009,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.6
2009,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",0.8
2009,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",0.7
2009,manufacturing,"fabricated metal products, machinery and equipment",total,1.5
2009,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1.2
2009,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",1.7
2009,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.6
2009,manufacturing,"electronic, computer and optical products",total,1.4
2009,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",0.9
2009,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",1.1
2009,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1.9
2009,manufacturing,transport equipment,total,1.5
2009,manufacturing,transport equipment,"professional, managers, executive and technicians",0.8
2009,manufacturing,transport equipment,"clerical, sales and services workers",2.2
2009,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.6
2009,manufacturing,other manufacturing industries,total,1.5
2009,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1
2009,manufacturing,other manufacturing industries,"clerical, sales and services workers",1.6
2009,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.7
2009,construction,construction,total,1.6
2009,construction,construction,"professional, managers, executive and technicians",1.7
2009,construction,construction,"clerical, sales and services workers",2.3
2009,construction,construction,"production and transport operators, cleaners and labourers",1.6
2009,services,wholesale and retail trade,total,2.4
2009,services,wholesale and retail trade,"professional, managers, executive and technicians",1.1
2009,services,wholesale and retail trade,"clerical, sales and services workers",3.4
2009,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",2.1
2009,services,transportation and storage,total,1.3
2009,services,transportation and storage,"professional, managers, executive and technicians",1
2009,services,transportation and storage,"clerical, sales and services workers",1.2
2009,services,transportation and storage,"production and transport operators, cleaners and labourers",1.5
2009,services,accommodation and food services,total,3.8
2009,services,accommodation and food services,"professional, managers, executive and technicians",2.2
2009,services,accommodation and food services,"clerical, sales and services workers",4.3
2009,services,accommodation and food services,"production and transport operators, cleaners and labourers",3.3
2009,services,information and communications,total,1.6
2009,services,information and communications,"professional, managers, executive and technicians",1.5
2009,services,information and communications,"clerical, sales and services workers",2.3
2009,services,information and communications,"production and transport operators, cleaners and labourers",2.4
2009,services,financial and insurance services,total,1.1
2009,services,financial and insurance services,"professional, managers, executive and technicians",1.1
