quarter,industry1,occupation1,resignation_rate
2004-Q4,others,"clerical, sales and services workers",1.1
2004-Q4,others,"production and transport operators, cleaners and labourers",4.2
2005-Q1,total,total,2.1
2005-Q1,total,"professional, managers, executive and technicians",1.5
2005-Q1,total,"clerical, sales and services workers",3.1
2005-Q1,total,"production and transport operators, cleaners and labourers",2.1
2005-Q1,manufacturing,total,1.7
2005-Q1,manufacturing,"professional, managers, executive and technicians",1.2
2005-Q1,manufacturing,"clerical, sales and services workers",2
2005-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.8
2005-Q1,construction,total,1.7
2005-Q1,construction,"professional, managers, executive and technicians",1.6
2005-Q1,construction,"clerical, sales and services workers",2.5
2005-Q1,construction,"production and transport operators, cleaners and labourers",1.7
2005-Q1,services,total,2.5
2005-Q1,services,"professional, managers, executive and technicians",1.6
2005-Q1,services,"clerical, sales and services workers",3.3
2005-Q1,services,"production and transport operators, cleaners and labourers",2.9
2005-Q1,others,total,2.8
2005-Q1,others,"professional, managers, executive and technicians",0.7
2005-Q1,others,"clerical, sales and services workers",2
2005-Q1,others,"production and transport operators, cleaners and labourers",4
2005-Q2,total,total,2.2
2005-Q2,total,"professional, managers, executive and technicians",1.8
2005-Q2,total,"clerical, sales and services workers",3.1
2005-Q2,total,"production and transport operators, cleaners and labourers",2.1
2005-Q2,manufacturing,total,1.8
2005-Q2,manufacturing,"professional, managers, executive and technicians",1.5
2005-Q2,manufacturing,"clerical, sales and services workers",2.4
2005-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.8
2005-Q2,construction,total,2
2005-Q2,construction,"professional, managers, executive and technicians",1.9
2005-Q2,construction,"clerical, sales and services workers",2
2005-Q2,construction,"production and transport operators, cleaners and labourers",2
2005-Q2,services,total,2.5
2005-Q2,services,"professional, managers, executive and technicians",1.8
2005-Q2,services,"clerical, sales and services workers",3.3
2005-Q2,services,"production and transport operators, cleaners and labourers",2.6
2005-Q2,others,total,2.7
2005-Q2,others,"professional, managers, executive and technicians",0.8
2005-Q2,others,"clerical, sales and services workers",1.1
2005-Q2,others,"production and transport operators, cleaners and labourers",4.1
2005-Q3,total,total,2.1
2005-Q3,total,"professional, managers, executive and technicians",1.7
2005-Q3,total,"clerical, sales and services workers",3.1
2005-Q3,total,"production and transport operators, cleaners and labourers",1.9
2005-Q3,manufacturing,total,1.6
2005-Q3,manufacturing,"professional, managers, executive and technicians",1.4
2005-Q3,manufacturing,"clerical, sales and services workers",2.2
2005-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.6
2005-Q3,construction,total,1.7
2005-Q3,construction,"professional, managers, executive and technicians",2
2005-Q3,construction,"clerical, sales and services workers",2.1
2005-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2005-Q3,services,total,2.5
2005-Q3,services,"professional, managers, executive and technicians",1.8
2005-Q3,services,"clerical, sales and services workers",3.2
2005-Q3,services,"production and transport operators, cleaners and labourers",2.5
2005-Q3,others,total,2.4
2005-Q3,others,"professional, managers, executive and technicians",0.8
2005-Q3,others,"clerical, sales and services workers",1.6
2005-Q3,others,"production and transport operators, cleaners and labourers",3.4
2005-Q4,total,total,1.8
2005-Q4,total,"professional, managers, executive and technicians",1.3
2005-Q4,total,"clerical, sales and services workers",2.5
2005-Q4,total,"production and transport operators, cleaners and labourers",1.8
2005-Q4,manufacturing,total,1.2
2005-Q4,manufacturing,"professional, managers, executive and technicians",1
2005-Q4,manufacturing,"clerical, sales and services workers",1.7
2005-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.2
2005-Q4,construction,total,1.8
2005-Q4,construction,"professional, managers, executive and technicians",1.8
2005-Q4,construction,"clerical, sales and services workers",1.6
2005-Q4,construction,"production and transport operators, cleaners and labourers",1.9
2005-Q4,services,total,2.1
2005-Q4,services,"professional, managers, executive and technicians",1.4
2005-Q4,services,"clerical, sales and services workers",2.7
2005-Q4,services,"production and transport operators, cleaners and labourers",2.4
2005-Q4,others,total,2.9
2005-Q4,others,"professional, managers, executive and technicians",0.4
2005-Q4,others,"clerical, sales and services workers",2.5
2005-Q4,others,"production and transport operators, cleaners and labourers",4.3
2006-Q1,total,total,2
2006-Q1,total,"professional, managers, executive and technicians",1.5
2006-Q1,total,"clerical, sales and services workers",2.8
2006-Q1,total,"production and transport operators, cleaners and labourers",2
2006-Q1,manufacturing,total,1.7
2006-Q1,manufacturing,"professional, managers, executive and technicians",1.5
2006-Q1,manufacturing,"clerical, sales and services workers",2.2
2006-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.7
2006-Q1,construction,total,1.9
2006-Q1,construction,"professional, managers, executive and technicians",2
2006-Q1,construction,"clerical, sales and services workers",2.4
2006-Q1,construction,"production and transport operators, cleaners and labourers",1.9
2006-Q1,services,total,2.2
2006-Q1,services,"professional, managers, executive and technicians",1.5
2006-Q1,services,"clerical, sales and services workers",2.9
2006-Q1,services,"production and transport operators, cleaners and labourers",2.6
2006-Q1,others,total,1.1
2006-Q1,others,"professional, managers, executive and technicians",0.5
2006-Q1,others,"clerical, sales and services workers",1.4
2006-Q1,others,"production and transport operators, cleaners and labourers",2.1
2006-Q2,total,total,2.1
2006-Q2,total,"professional, managers, executive and technicians",1.6
2006-Q2,total,"clerical, sales and services workers",3
2006-Q2,total,"production and transport operators, cleaners and labourers",2
2006-Q2,manufacturing,total,1.7
2006-Q2,manufacturing,"professional, managers, executive and technicians",1.7
2006-Q2,manufacturing,"clerical, sales and services workers",2.8
2006-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.6
2006-Q2,construction,total,1.8
2006-Q2,construction,"professional, managers, executive and technicians",2.5
2006-Q2,construction,"clerical, sales and services workers",2
2006-Q2,construction,"production and transport operators, cleaners and labourers",1.6
2006-Q2,services,total,2.3
2006-Q2,services,"professional, managers, executive and technicians",1.5
2006-Q2,services,"clerical, sales and services workers",3.1
2006-Q2,services,"production and transport operators, cleaners and labourers",2.7
2006-Q2,others,total,1.3
2006-Q2,others,"professional, managers, executive and technicians",0.5
2006-Q2,others,"clerical, sales and services workers",2.4
2006-Q2,others,"production and transport operators, cleaners and labourers",2.1
2006-Q3,total,total,2
2006-Q3,total,"professional, managers, executive and technicians",1.6
2006-Q3,total,"clerical, sales and services workers",3
2006-Q3,total,"production and transport operators, cleaners and labourers",1.9
2006-Q3,manufacturing,total,1.6
2006-Q3,manufacturing,"professional, managers, executive and technicians",1.5
2006-Q3,manufacturing,"clerical, sales and services workers",2.5
2006-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.5
2006-Q3,construction,total,1.6
2006-Q3,construction,"professional, managers, executive and technicians",2.3
2006-Q3,construction,"clerical, sales and services workers",2.2
2006-Q3,construction,"production and transport operators, cleaners and labourers",1.4
2006-Q3,services,total,2.4
2006-Q3,services,"professional, managers, executive and technicians",1.6
2006-Q3,services,"clerical, sales and services workers",3.1
2006-Q3,services,"production and transport operators, cleaners and labourers",2.8
2006-Q3,others,total,1
2006-Q3,others,"professional, managers, executive and technicians",0.6
2006-Q3,others,"clerical, sales and services workers",1.3
2006-Q3,others,"production and transport operators, cleaners and labourers",1.7
2006-Q4,total,total,1.7
2006-Q4,total,"professional, managers, executive and technicians",1.2
2006-Q4,total,"clerical, sales and services workers",2.5
2006-Q4,total,"production and transport operators, cleaners and labourers",1.6
2006-Q4,manufacturing,total,1.1
2006-Q4,manufacturing,"professional, managers, executive and technicians",1.2
2006-Q4,manufacturing,"clerical, sales and services workers",1.5
2006-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.1
2006-Q4,construction,total,1.5
2006-Q4,construction,"professional, managers, executive and technicians",2
2006-Q4,construction,"clerical, sales and services workers",1.7
2006-Q4,construction,"production and transport operators, cleaners and labourers",1.3
2006-Q4,services,total,2
2006-Q4,services,"professional, managers, executive and technicians",1.2
2006-Q4,services,"clerical, sales and services workers",2.7
2006-Q4,services,"production and transport operators, cleaners and labourers",2.6
2006-Q4,others,total,0.9
2006-Q4,others,"professional, managers, executive and technicians",0.3
2006-Q4,others,"clerical, sales and services workers",1
2006-Q4,others,"production and transport operators, cleaners and labourers",1.7
2007-Q1,total,total,2
2007-Q1,total,"professional, managers, executive and technicians",1.4
2007-Q1,total,"clerical, sales and services workers",3
2007-Q1,total,"production and transport operators, cleaners and labourers",1.9
2007-Q1,manufacturing,total,1.5
2007-Q1,manufacturing,"professional, managers, executive and technicians",1.3
2007-Q1,manufacturing,"clerical, sales and services workers",1.9
2007-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.6
2007-Q1,construction,total,1.6
2007-Q1,construction,"professional, managers, executive and technicians",2.1
2007-Q1,construction,"clerical, sales and services workers",2.5
2007-Q1,construction,"production and transport operators, cleaners and labourers",1.5
2007-Q1,services,total,2.2
2007-Q1,services,"professional, managers, executive and technicians",1.4
2007-Q1,services,"clerical, sales and services workers",3.1
2007-Q1,services,"production and transport operators, cleaners and labourers",2.6
2007-Q1,others,total,1
2007-Q1,others,"professional, managers, executive and technicians",0.5
2007-Q1,others,"clerical, sales and services workers",1
2007-Q1,others,"production and transport operators, cleaners and labourers",1.7
2007-Q2,total,total,2.2
2007-Q2,total,"professional, managers, executive and technicians",1.7
2007-Q2,total,"clerical, sales and services workers",3.3
2007-Q2,total,"production and transport operators, cleaners and labourers",2
2007-Q2,manufacturing,total,1.7
2007-Q2,manufacturing,"professional, managers, executive and technicians",1.6
2007-Q2,manufacturing,"clerical, sales and services workers",2.4
2007-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.6
2007-Q2,construction,total,1.7
2007-Q2,construction,"professional, managers, executive and technicians",2.5
2007-Q2,construction,"clerical, sales and services workers",2.2
2007-Q2,construction,"production and transport operators, cleaners and labourers",1.6
2007-Q2,services,total,2.5
2007-Q2,services,"professional, managers, executive and technicians",1.7
2007-Q2,services,"clerical, sales and services workers",3.4
2007-Q2,services,"production and transport operators, cleaners and labourers",2.9
2007-Q2,others,total,1.4
2007-Q2,others,"professional, managers, executive and technicians",0.5
2007-Q2,others,"clerical, sales and services workers",1.4
2007-Q2,others,"production and transport operators, cleaners and labourers",2.5
2007-Q3,total,total,2.1
2007-Q3,total,"professional, managers, executive and technicians",1.8
2007-Q3,total,"clerical, sales and services workers",3.1
2007-Q3,total,"production and transport operators, cleaners and labourers",1.9
2007-Q3,manufacturing,total,1.6
2007-Q3,manufacturing,"professional, managers, executive and technicians",1.7
2007-Q3,manufacturing,"clerical, sales and services workers",2.3
2007-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.6
2007-Q3,construction,total,1.7
2007-Q3,construction,"professional, managers, executive and technicians",2.3
2007-Q3,construction,"clerical, sales and services workers",2.4
2007-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2007-Q3,services,total,2.4
2007-Q3,services,"professional, managers, executive and technicians",1.8
2007-Q3,services,"clerical, sales and services workers",3.2
2007-Q3,services,"production and transport operators, cleaners and labourers",2.7
2007-Q3,others,total,1.8
2007-Q3,others,"professional, managers, executive and technicians",0.7
2007-Q3,others,"clerical, sales and services workers",1.7
2007-Q3,others,"production and transport operators, cleaners and labourers",3
2007-Q4,total,total,1.7
2007-Q4,total,"professional, managers, executive and technicians",1.3
2007-Q4,total,"clerical, sales and services workers",2.6
2007-Q4,total,"production and transport operators, cleaners and labourers",1.6
2007-Q4,manufacturing,total,1.2
2007-Q4,manufacturing,"professional, managers, executive and technicians",1.2
2007-Q4,manufacturing,"clerical, sales and services workers",1.7
2007-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.1
2007-Q4,construction,total,1.5
2007-Q4,construction,"professional, managers, executive and technicians",1.6
2007-Q4,construction,"clerical, sales and services workers",2.3
2007-Q4,construction,"production and transport operators, cleaners and labourers",1.4
2007-Q4,services,total,2
2007-Q4,services,"professional, managers, executive and technicians",1.4
2007-Q4,services,"clerical, sales and services workers",2.7
2007-Q4,services,"production and transport operators, cleaners and labourers",2.4
2007-Q4,others,total,1.7
2007-Q4,others,"professional, managers, executive and technicians",0.6
2007-Q4,others,"clerical, sales and services workers",0.9
2007-Q4,others,"production and transport operators, cleaners and labourers",3.1
2008-Q1,total,total,2
2008-Q1,total,"professional, managers, executive and technicians",1.5
2008-Q1,total,"clerical, sales and services workers",3.1
2008-Q1,total,"production and transport operators, cleaners and labourers",2
2008-Q1,manufacturing,total,1.7
2008-Q1,manufacturing,"professional, managers, executive and technicians",1.5
2008-Q1,manufacturing,"clerical, sales and services workers",2.1
2008-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.7
2008-Q1,construction,total,1.8
2008-Q1,construction,"professional, managers, executive and technicians",2.1
2008-Q1,construction,"clerical, sales and services workers",2.8
2008-Q1,construction,"production and transport operators, cleaners and labourers",1.6
2008-Q1,services,total,2.3
2008-Q1,services,"professional, managers, executive and technicians",1.5
2008-Q1,services,"clerical, sales and services workers",3.2
2008-Q1,services,"production and transport operators, cleaners and labourers",2.6
2008-Q1,others,total,2.1
2008-Q1,others,"professional, managers, executive and technicians",0.9
2008-Q1,others,"clerical, sales and services workers",1.8
2008-Q1,others,"production and transport operators, cleaners and labourers",3.4
2008-Q2,total,total,2.3
2008-Q2,total,"professional, managers, executive and technicians",1.7
2008-Q2,total,"clerical, sales and services workers",3.4
2008-Q2,total,"production and transport operators, cleaners and labourers",2.2
2008-Q2,manufacturing,total,1.9
2008-Q2,manufacturing,"professional, managers, executive and technicians",1.7
2008-Q2,manufacturing,"clerical, sales and services workers",2.9
2008-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.9
2008-Q2,construction,total,1.9
2008-Q2,construction,"professional, managers, executive and technicians",2.3
2008-Q2,construction,"clerical, sales and services workers",2.7
2008-Q2,construction,"production and transport operators, cleaners and labourers",1.7
2008-Q2,services,total,2.5
2008-Q2,services,"professional, managers, executive and technicians",1.7
2008-Q2,services,"clerical, sales and services workers",3.5
2008-Q2,services,"production and transport operators, cleaners and labourers",2.9
2008-Q2,others,total,2.4
2008-Q2,others,"professional, managers, executive and technicians",0.7
2008-Q2,others,"clerical, sales and services workers",2.5
2008-Q2,others,"production and transport operators, cleaners and labourers",4.3
2008-Q3,total,total,2
2008-Q3,total,"professional, managers, executive and technicians",1.6
2008-Q3,total,"clerical, sales and services workers",2.9
2008-Q3,total,"production and transport operators, cleaners and labourers",1.9
2008-Q3,manufacturing,total,1.6
2008-Q3,manufacturing,"professional, managers, executive and technicians",1.5
2008-Q3,manufacturing,"clerical, sales and services workers",2.3
2008-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.5
2008-Q3,construction,total,1.7
2008-Q3,construction,"professional, managers, executive and technicians",2.2
2008-Q3,construction,"clerical, sales and services workers",2.3
2008-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2008-Q3,services,total,2.2
2008-Q3,services,"professional, managers, executive and technicians",1.7
2008-Q3,services,"clerical, sales and services workers",3
2008-Q3,services,"production and transport operators, cleaners and labourers",2.5
2008-Q3,others,total,2.2
2008-Q3,others,"professional, managers, executive and technicians",0.7
2008-Q3,others,"clerical, sales and services workers",1.9
2008-Q3,others,"production and transport operators, cleaners and labourers",3.6
2008-Q4,total,total,1.6
2008-Q4,total,"professional, managers, executive and technicians",1.1
2008-Q4,total,"clerical, sales and services workers",2.4
2008-Q4,total,"production and transport operators, cleaners and labourers",1.6
2008-Q4,manufacturing,total,1.3
2008-Q4,manufacturing,"professional, managers, executive and technicians",1
2008-Q4,manufacturing,"clerical, sales and services workers",2
2008-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2008-Q4,construction,total,1.5
2008-Q4,construction,"professional, managers, executive and technicians",1.5
2008-Q4,construction,"clerical, sales and services workers",1.8
2008-Q4,construction,"production and transport operators, cleaners and labourers",1.5
2008-Q4,services,total,1.7
2008-Q4,services,"professional, managers, executive and technicians",1.1
2008-Q4,services,"clerical, sales and services workers",2.5
2008-Q4,services,"production and transport operators, cleaners and labourers",2
2008-Q4,others,total,1.8
2008-Q4,others,"professional, managers, executive and technicians",0.5
2008-Q4,others,"clerical, sales and services workers",1.2
2008-Q4,others,"production and transport operators, cleaners and labourers",3.1
2009-Q1,total,total,1.8
2009-Q1,total,"professional, managers, executive and technicians",1
2009-Q1,total,"clerical, sales and services workers",2.7
2009-Q1,total,"production and transport operators, cleaners and labourers",2
2009-Q1,manufacturing,total,1.6
2009-Q1,manufacturing,"professional, managers, executive and technicians",0.9
2009-Q1,manufacturing,"clerical, sales and services workers",2.2
2009-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.9
2009-Q1,construction,total,1.7
2009-Q1,construction,"professional, managers, executive and technicians",1.6
2009-Q1,construction,"clerical, sales and services workers",3.2
2009-Q1,construction,"production and transport operators, cleaners and labourers",1.6
2009-Q1,services,total,1.9
2009-Q1,services,"professional, managers, executive and technicians",1
2009-Q1,services,"clerical, sales and services workers",2.8
2009-Q1,services,"production and transport operators, cleaners and labourers",2.4
2009-Q1,others,total,2.4
2009-Q1,others,"professional, managers, executive and technicians",0.5
2009-Q1,others,"clerical, sales and services workers",1.1
2009-Q1,others,"production and transport operators, cleaners and labourers",4.4
2009-Q2,total,total,1.8
2009-Q2,total,"professional, managers, executive and technicians",1.1
2009-Q2,total,"clerical, sales and services workers",2.7
2009-Q2,total,"production and transport operators, cleaners and labourers",1.9
2009-Q2,manufacturing,total,1.6
2009-Q2,manufacturing,"professional, managers, executive and technicians",1
2009-Q2,manufacturing,"clerical, sales and services workers",2.5
2009-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.8
2009-Q2,construction,total,1.7
2009-Q2,construction,"professional, managers, executive and technicians",1.7
2009-Q2,construction,"clerical, sales and services workers",2.3
2009-Q2,construction,"production and transport operators, cleaners and labourers",1.6
2009-Q2,services,total,1.9
2009-Q2,services,"professional, managers, executive and technicians",1.1
2009-Q2,services,"clerical, sales and services workers",2.8
2009-Q2,services,"production and transport operators, cleaners and labourers",2.3
2009-Q2,others,total,2
2009-Q2,others,"professional, managers, executive and technicians",0.5
2009-Q2,others,"clerical, sales and services workers",1.3
2009-Q2,others,"production and transport operators, cleaners and labourers",3.6
2009-Q3,total,total,1.8
2009-Q3,total,"professional, managers, executive and technicians",1.2
2009-Q3,total,"clerical, sales and services workers",2.8
2009-Q3,total,"production and transport operators, cleaners and labourers",2
2009-Q3,manufacturing,total,1.5
2009-Q3,manufacturing,"professional, managers, executive and technicians",1.1
2009-Q3,manufacturing,"clerical, sales and services workers",2.1
2009-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2009-Q3,construction,total,1.6
2009-Q3,construction,"professional, managers, executive and technicians",1.8
2009-Q3,construction,"clerical, sales and services workers",2
2009-Q3,construction,"production and transport operators, cleaners and labourers",1.5
2009-Q3,services,total,2
2009-Q3,services,"professional, managers, executive and technicians",1.2
2009-Q3,services,"clerical, sales and services workers",2.9
2009-Q3,services,"production and transport operators, cleaners and labourers",2.7
2009-Q3,others,total,1.8
2009-Q3,others,"professional, managers, executive and technicians",0.6
2009-Q3,others,"clerical, sales and services workers",1.5
2009-Q3,others,"production and transport operators, cleaners and labourers",3.2
2009-Q4,total,total,1.7
2009-Q4,total,"professional, managers, executive and technicians",1.1
2009-Q4,total,"clerical, sales and services workers",2.5
2009-Q4,total,"production and transport operators, cleaners and labourers",1.8
2009-Q4,manufacturing,total,1.2
2009-Q4,manufacturing,"professional, managers, executive and technicians",0.9
2009-Q4,manufacturing,"clerical, sales and services workers",1.6
2009-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2009-Q4,construction,total,1.7
2009-Q4,construction,"professional, managers, executive and technicians",1.6
2009-Q4,construction,"clerical, sales and services workers",1.6
2009-Q4,construction,"production and transport operators, cleaners and labourers",1.7
2009-Q4,services,total,1.9
2009-Q4,services,"professional, managers, executive and technicians",1.1
2009-Q4,services,"clerical, sales and services workers",2.6
2009-Q4,services,"production and transport operators, cleaners and labourers",2.5
2009-Q4,others,total,1.7
2009-Q4,others,"professional, managers, executive and technicians",0.3
2009-Q4,others,"clerical, sales and services workers",1.1
2009-Q4,others,"production and transport operators, cleaners and labourers",3.2
2010-Q1,total,total,2
2010-Q1,total,"professional, managers, executive and technicians",1.3
2010-Q1,total,"clerical, sales and services workers",3.2
2010-Q1,total,"production and transport operators, cleaners and labourers",2.1
2010-Q1,manufacturing,total,1.5
2010-Q1,manufacturing,"professional, managers, executive and technicians",1.1
2010-Q1,manufacturing,"clerical, sales and services workers",2.1
2010-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.6
2010-Q1,construction,total,1.7
2010-Q1,construction,"professional, managers, executive and technicians",1.8
2010-Q1,construction,"clerical, sales and services workers",1.8
2010-Q1,construction,"production and transport operators, cleaners and labourers",1.7
2010-Q1,services,total,2.3
2010-Q1,services,"professional, managers, executive and technicians",1.3
2010-Q1,services,"clerical, sales and services workers",3.3
2010-Q1,services,"production and transport operators, cleaners and labourers",2.9
2010-Q1,others,total,1.2
2010-Q1,others,"professional, managers, executive and technicians",0.5
2010-Q1,others,"clerical, sales and services workers",0.9
2010-Q1,others,"production and transport operators, cleaners and labourers",2.1
2010-Q2,total,total,2.2
2010-Q2,total,"professional, managers, executive and technicians",1.6
2010-Q2,total,"clerical, sales and services workers",3.3
2010-Q2,total,"production and transport operators, cleaners and labourers",2.3
2010-Q2,manufacturing,total,1.8
2010-Q2,manufacturing,"professional, managers, executive and technicians",1.6
2010-Q2,manufacturing,"clerical, sales and services workers",2.7
2010-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.8
2010-Q2,construction,total,2
2010-Q2,construction,"professional, managers, executive and technicians",2.2
2010-Q2,construction,"clerical, sales and services workers",2.5
2010-Q2,construction,"production and transport operators, cleaners and labourers",1.9
2010-Q2,services,total,2.5
2010-Q2,services,"professional, managers, executive and technicians",1.6
2010-Q2,services,"clerical, sales and services workers",3.4
2010-Q2,services,"production and transport operators, cleaners and labourers",3.1
2010-Q2,others,total,1.6
2010-Q2,others,"professional, managers, executive and technicians",0.6
2010-Q2,others,"clerical, sales and services workers",1.2
2010-Q2,others,"production and transport operators, cleaners and labourers",2.9
2010-Q3,total,total,2.1
2010-Q3,total,"professional, managers, executive and technicians",1.6
2010-Q3,total,"clerical, sales and services workers",3.2
2010-Q3,total,"production and transport operators, cleaners and labourers",2.1
2010-Q3,manufacturing,total,1.6
2010-Q3,manufacturing,"professional, managers, executive and technicians",1.5
2010-Q3,manufacturing,"clerical, sales and services workers",2.6
2010-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.6
2010-Q3,construction,total,1.8
2010-Q3,construction,"professional, managers, executive and technicians",2
2010-Q3,construction,"clerical, sales and services workers",2.4
2010-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2010-Q3,services,total,2.4
2010-Q3,services,"professional, managers, executive and technicians",1.6
2010-Q3,services,"clerical, sales and services workers",3.4
2010-Q3,services,"production and transport operators, cleaners and labourers",2.9
2010-Q3,others,total,2.1
2010-Q3,others,"professional, managers, executive and technicians",0.7
2010-Q3,others,"clerical, sales and services workers",1.7
2010-Q3,others,"production and transport operators, cleaners and labourers",3.9
2010-Q4,total,total,1.8
2010-Q4,total,"professional, managers, executive and technicians",1.2
2010-Q4,total,"clerical, sales and services workers",2.8
2010-Q4,total,"production and transport operators, cleaners and labourers",1.8
2010-Q4,manufacturing,total,1.2
2010-Q4,manufacturing,"professional, managers, executive and technicians",1
2010-Q4,manufacturing,"clerical, sales and services workers",1.9
2010-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2010-Q4,construction,total,1.6
2010-Q4,construction,"professional, managers, executive and technicians",1.4
2010-Q4,construction,"clerical, sales and services workers",1.8
2010-Q4,construction,"production and transport operators, cleaners and labourers",1.6
2010-Q4,services,total,2
2010-Q4,services,"professional, managers, executive and technicians",1.2
2010-Q4,services,"clerical, sales and services workers",2.9
2010-Q4,services,"production and transport operators, cleaners and labourers",2.5
2010-Q4,others,total,1.4
2010-Q4,others,"professional, managers, executive and technicians",0.6
2010-Q4,others,"clerical, sales and services workers",1.2
2010-Q4,others,"production and transport operators, cleaners and labourers",2.4
2011-Q1,total,total,2
2011-Q1,total,"professional, managers, executive and technicians",1.3
2011-Q1,total,"clerical, sales and services workers",3.1
2011-Q1,total,"production and transport operators, cleaners and labourers",2.1
2011-Q1,manufacturing,total,1.6
2011-Q1,manufacturing,"professional, managers, executive and technicians",1.2
2011-Q1,manufacturing,"clerical, sales and services workers",2.2
2011-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.7
2011-Q1,construction,total,1.5
2011-Q1,construction,"professional, managers, executive and technicians",1.7
2011-Q1,construction,"clerical, sales and services workers",2.1
2011-Q1,construction,"production and transport operators, cleaners and labourers",1.5
2011-Q1,services,total,2.2
2011-Q1,services,"professional, managers, executive and technicians",1.3
2011-Q1,services,"clerical, sales and services workers",3.2
2011-Q1,services,"production and transport operators, cleaners and labourers",2.9
2011-Q1,others,total,1.9
2011-Q1,others,"professional, managers, executive and technicians",0.4
2011-Q1,others,"clerical, sales and services workers",1.4
2011-Q1,others,"production and transport operators, cleaners and labourers",4
2011-Q2,total,total,2.1
2011-Q2,total,"professional, managers, executive and technicians",1.5
2011-Q2,total,"clerical, sales and services workers",3.2
2011-Q2,total,"production and transport operators, cleaners and labourers",2.2
2011-Q2,manufacturing,total,1.7
2011-Q2,manufacturing,"professional, managers, executive and technicians",1.5
2011-Q2,manufacturing,"clerical, sales and services workers",2.3
2011-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.7
2011-Q2,construction,total,2
2011-Q2,construction,"professional, managers, executive and technicians",2.2
2011-Q2,construction,"clerical, sales and services workers",2.2
2011-Q2,construction,"production and transport operators, cleaners and labourers",1.9
2011-Q2,services,total,2.3
2011-Q2,services,"professional, managers, executive and technicians",1.5
2011-Q2,services,"clerical, sales and services workers",3.3
2011-Q2,services,"production and transport operators, cleaners and labourers",2.8
2011-Q2,others,total,1.6
2011-Q2,others,"professional, managers, executive and technicians",0.8
2011-Q2,others,"clerical, sales and services workers",1.5
2011-Q2,others,"production and transport operators, cleaners and labourers",2.6
2011-Q3,total,total,2.1
2011-Q3,total,"professional, managers, executive and technicians",1.6
2011-Q3,total,"clerical, sales and services workers",3.2
2011-Q3,total,"production and transport operators, cleaners and labourers",2.1
2011-Q3,manufacturing,total,1.7
2011-Q3,manufacturing,"professional, managers, executive and technicians",1.4
2011-Q3,manufacturing,"clerical, sales and services workers",2.5
2011-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.8
2011-Q3,construction,total,1.8
2011-Q3,construction,"professional, managers, executive and technicians",2.2
2011-Q3,construction,"clerical, sales and services workers",2.6
2011-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2011-Q3,services,total,2.3
2011-Q3,services,"professional, managers, executive and technicians",1.6
2011-Q3,services,"clerical, sales and services workers",3.3
2011-Q3,services,"production and transport operators, cleaners and labourers",2.8
2011-Q3,others,total,2
2011-Q3,others,"professional, managers, executive and technicians",0.9
2011-Q3,others,"clerical, sales and services workers",1.9
2011-Q3,others,"production and transport operators, cleaners and labourers",3.6
2011-Q4,total,total,1.7
2011-Q4,total,"professional, managers, executive and technicians",1.1
2011-Q4,total,"clerical, sales and services workers",2.7
2011-Q4,total,"production and transport operators, cleaners and labourers",1.8
2011-Q4,manufacturing,total,1.3
2011-Q4,manufacturing,"professional, managers, executive and technicians",1
2011-Q4,manufacturing,"clerical, sales and services workers",1.8
2011-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.4
2011-Q4,construction,total,1.6
2011-Q4,construction,"professional, managers, executive and technicians",1.6
2011-Q4,construction,"clerical, sales and services workers",1.9
2011-Q4,construction,"production and transport operators, cleaners and labourers",1.5
2011-Q4,services,total,1.9
2011-Q4,services,"professional, managers, executive and technicians",1.1
2011-Q4,services,"clerical, sales and services workers",2.8
